r,rr,l,f,y,Trade
"REGION1","REGION1","SEA1D","DSL",2028,0
"REGION1","REGION1","SEA1D","DSL",2029,0
"REGION1","REGION1","SEA1D","DSL",2030,0
"REGION1","REGION1","SEA1D","DSL",2031,0
"REGION1","REGION1","SEA1D","DSL",2032,0
"REGION1","REGION1","SEA1D","DSL",2033,0
"REGION1","REGION1","SEA1D","DSL",2034,0
"REGION1","REGION1","SEA1D","DSL",2035,0
"REGION1","REGION1","SEA1D","DSL",2036,0
"REGION1","REGION1","SEA1D","DSL",2037,0
"REGION1","REGION1","SEA1D","DSL",2038,0
"REGION1","REGION1","SEA1D","DSL",2039,0
"REGION1","REGION1","SEA1D","DSL",2040,0
"REGION1","REGION1","SEA1D","DSL",2041,0
"REGION1","REGION1","SEA1D","DSL",2042,0
"REGION1","REGION1","SEA1D","DSL",2043,0
"REGION1","REGION1","SEA1D","DSL",2044,0
"REGION1","REGION1","SEA1D","DSL",2045,0
"REGION1","REGION1","SEA1D","DSL",2046,0
"REGION1","REGION1","SEA1D","DSL",2047,0
"REGION1","REGION1","SEA1D","DSL",2048,0
"REGION1","REGION1","SEA1D","DSL",2049,0
"REGION1","REGION1","SEA1D","DSL",2050,0
"REGION1","REGION1","SEA1D","INDBIO",2020,0
"REGION1","REGION1","SEA1D","INDBIO",2021,0
"REGION1","REGION1","SEA1D","INDBIO",2022,0
"REGION1","REGION1","SEA1D","INDBIO",2023,0
"REGION1","REGION1","SEA1D","INDBIO",2024,0
"REGION1","REGION1","SEA1D","INDBIO",2025,0
"REGION1","REGION1","SEA1D","INDBIO",2026,0
"REGION1","REGION1","SEA1D","INDBIO",2027,0
"REGION1","REGION1","SEA1D","INDBIO",2028,0
"REGION1","REGION1","SEA1D","INDBIO",2029,0
"REGION1","REGION1","SEA1D","INDBIO",2030,0
"REGION1","REGION1","SEA1D","INDBIO",2031,0
"REGION1","REGION1","SEA1D","INDBIO",2032,0
"REGION1","REGION1","SEA1D","INDBIO",2033,0
"REGION1","REGION1","SEA1D","INDBIO",2034,0
"REGION1","REGION1","SEA1D","INDBIO",2035,0
"REGION1","REGION1","SEA1D","INDBIO",2036,0
"REGION1","REGION1","SEA1D","INDBIO",2037,0
"REGION1","REGION1","SEA1D","INDBIO",2038,0
"REGION1","REGION1","SEA1D","INDBIO",2039,0
"REGION1","REGION1","SEA1D","INDBIO",2040,0
"REGION1","REGION1","SEA1D","INDBIO",2041,0
"REGION1","REGION1","SEA1D","INDBIO",2042,0
"REGION1","REGION1","SEA1D","INDBIO",2043,0
"REGION1","REGION1","SEA1D","INDBIO",2044,0
"REGION1","REGION1","SEA1D","INDBIO",2045,0
"REGION1","REGION1","SEA1D","INDBIO",2046,0
"REGION1","REGION1","SEA1D","INDBIO",2047,0
"REGION1","REGION1","SEA1D","INDBIO",2048,0
"REGION1","REGION1","SEA1D","INDBIO",2049,0
"REGION1","REGION1","SEA1D","INDBIO",2050,0
"REGION1","REGION1","SEA1D","BIO",2020,0
"REGION1","REGION1","SEA1D","BIO",2021,0
"REGION1","REGION1","SEA1D","BIO",2022,0
"REGION1","REGION1","SEA1D","BIO",2023,0
"REGION1","REGION1","SEA1D","BIO",2024,0
"REGION1","REGION1","SEA1D","BIO",2025,0
"REGION1","REGION1","SEA1D","BIO",2026,0
"REGION1","REGION1","SEA1D","BIO",2027,0
"REGION1","REGION1","SEA1D","BIO",2028,0
"REGION1","REGION1","SEA1D","BIO",2029,0
"REGION1","REGION1","SEA1D","BIO",2030,0
"REGION1","REGION1","SEA1D","BIO",2031,0
"REGION1","REGION1","SEA1D","BIO",2032,0
"REGION1","REGION1","SEA1D","BIO",2033,0
"REGION1","REGION1","SEA1D","BIO",2034,0
"REGION1","REGION1","SEA1D","BIO",2035,0
"REGION1","REGION1","SEA1D","BIO",2036,0
"REGION1","REGION1","SEA1D","BIO",2037,0
"REGION1","REGION1","SEA1D","BIO",2038,0
"REGION1","REGION1","SEA1D","BIO",2039,0
"REGION1","REGION1","SEA1D","BIO",2040,0
"REGION1","REGION1","SEA1D","BIO",2041,0
"REGION1","REGION1","SEA1D","BIO",2042,0
"REGION1","REGION1","SEA1D","BIO",2043,0
"REGION1","REGION1","SEA1D","BIO",2044,0
"REGION1","REGION1","SEA1D","BIO",2045,0
"REGION1","REGION1","SEA1D","BIO",2046,0
"REGION1","REGION1","SEA1D","BIO",2047,0
"REGION1","REGION1","SEA1D","BIO",2048,0
"REGION1","REGION1","SEA1D","BIO",2049,0
"REGION1","REGION1","SEA1D","BIO",2050,0
"REGION1","REGION1","SEA1D","INDNGS",2020,0
"REGION1","REGION1","SEA1D","INDNGS",2021,0
"REGION1","REGION1","SEA1D","INDNGS",2022,0
"REGION1","REGION1","SEA1D","INDNGS",2023,0
"REGION1","REGION1","SEA1D","INDNGS",2024,0
"REGION1","REGION1","SEA1D","INDNGS",2025,0
"REGION1","REGION1","SEA1D","INDNGS",2026,0
"REGION1","REGION1","SEA1D","INDNGS",2027,0
"REGION1","REGION1","SEA1D","INDNGS",2028,0
"REGION1","REGION1","SEA1D","INDNGS",2029,0
"REGION1","REGION1","SEA1D","INDNGS",2030,0
"REGION1","REGION1","SEA1D","INDNGS",2031,0
"REGION1","REGION1","SEA1D","INDNGS",2032,0
"REGION1","REGION1","SEA1D","INDNGS",2033,0
"REGION1","REGION1","SEA1D","INDNGS",2034,0
"REGION1","REGION1","SEA1D","INDNGS",2035,0
"REGION1","REGION1","SEA1D","INDNGS",2036,0
"REGION1","REGION1","SEA1D","INDNGS",2037,0
"REGION1","REGION1","SEA1D","INDNGS",2038,0
"REGION1","REGION1","SEA1D","INDNGS",2039,0
"REGION1","REGION1","SEA1D","INDNGS",2040,0
"REGION1","REGION1","SEA1D","INDNGS",2041,0
"REGION1","REGION1","SEA1D","INDNGS",2042,0
"REGION1","REGION1","SEA1D","INDNGS",2043,0
"REGION1","REGION1","SEA1D","INDNGS",2044,0
"REGION1","REGION1","SEA1D","INDNGS",2045,0
"REGION1","REGION1","SEA1D","INDNGS",2046,0
"REGION1","REGION1","SEA1D","INDNGS",2047,0
"REGION1","REGION1","SEA1D","INDNGS",2048,0
"REGION1","REGION1","SEA1D","INDNGS",2049,0
"REGION1","REGION1","SEA1D","INDNGS",2050,0
"REGION1","REGION1","SEA1D","NGS",2020,0
"REGION1","REGION1","SEA1D","NGS",2021,0
"REGION1","REGION1","SEA1D","NGS",2022,0
"REGION1","REGION1","SEA1D","NGS",2023,0
"REGION1","REGION1","SEA1D","NGS",2024,0
"REGION1","REGION1","SEA1D","NGS",2025,0
"REGION1","REGION1","SEA1D","NGS",2026,0
"REGION1","REGION1","SEA1D","NGS",2027,0
"REGION1","REGION1","SEA1D","NGS",2028,0
"REGION1","REGION1","SEA1D","NGS",2029,0
"REGION1","REGION1","SEA1D","NGS",2030,0
"REGION1","REGION1","SEA1D","NGS",2031,0
"REGION1","REGION1","SEA1D","NGS",2032,0
"REGION1","REGION1","SEA1D","NGS",2033,0
"REGION1","REGION1","SEA1D","NGS",2034,0
"REGION1","REGION1","SEA1D","NGS",2035,0
"REGION1","REGION1","SEA1D","NGS",2036,0
"REGION1","REGION1","SEA1D","NGS",2037,0
"REGION1","REGION1","SEA1D","NGS",2038,0
"REGION1","REGION1","SEA1D","NGS",2039,0
"REGION1","REGION1","SEA1D","NGS",2040,0
"REGION1","REGION1","SEA1D","NGS",2041,0
"REGION1","REGION1","SEA1D","NGS",2042,0
"REGION1","REGION1","SEA1D","NGS",2043,0
"REGION1","REGION1","SEA1D","NGS",2044,0
"REGION1","REGION1","SEA1D","NGS",2045,0
"REGION1","REGION1","SEA1D","NGS",2046,0
"REGION1","REGION1","SEA1D","NGS",2047,0
"REGION1","REGION1","SEA1D","NGS",2048,0
"REGION1","REGION1","SEA1D","NGS",2049,0
"REGION1","REGION1","SEA1D","NGS",2050,0
"REGION1","REGION1","SEA1D","INDELCB02",2020,0
"REGION1","REGION1","SEA1D","INDELCB02",2021,0
"REGION1","REGION1","SEA1D","INDELCB02",2022,0
"REGION1","REGION1","SEA1D","INDELCB02",2023,0
"REGION1","REGION1","SEA1D","INDELCB02",2024,0
"REGION1","REGION1","SEA1D","INDELCB02",2025,0
"REGION1","REGION1","SEA1D","INDELCB02",2026,0
"REGION1","REGION1","SEA1D","INDELCB02",2027,0
"REGION1","REGION1","SEA1D","INDELCB02",2028,0
"REGION1","REGION1","SEA1D","INDELCB02",2029,0
"REGION1","REGION1","SEA1D","INDELCB02",2030,0
"REGION1","REGION1","SEA1D","INDELCB02",2031,0
"REGION1","REGION1","SEA1D","INDELCB02",2032,0
"REGION1","REGION1","SEA1D","INDELCB02",2033,0
"REGION1","REGION1","SEA1D","INDELCB02",2034,0
"REGION1","REGION1","SEA1D","INDELCB02",2035,0
"REGION1","REGION1","SEA1D","INDELCB02",2036,0
"REGION1","REGION1","SEA1D","INDELCB02",2037,0
"REGION1","REGION1","SEA1D","INDELCB02",2038,0
"REGION1","REGION1","SEA1D","INDELCB02",2039,0
"REGION1","REGION1","SEA1D","INDELCB02",2040,0
"REGION1","REGION1","SEA1D","INDELCB02",2041,0
"REGION1","REGION1","SEA1D","INDELCB02",2042,0
"REGION1","REGION1","SEA1D","INDELCB02",2043,0
"REGION1","REGION1","SEA1D","INDELCB02",2044,0
"REGION1","REGION1","SEA1D","INDELCB02",2045,0
"REGION1","REGION1","SEA1D","INDELCB02",2046,0
"REGION1","REGION1","SEA1D","INDELCB02",2047,0
"REGION1","REGION1","SEA1D","INDELCB02",2048,0
"REGION1","REGION1","SEA1D","INDELCB02",2049,0
"REGION1","REGION1","SEA1D","INDELCB02",2050,0
"REGION1","REGION1","SEA1D","ELCB02",2020,0
"REGION1","REGION1","SEA1D","ELCB02",2021,0
"REGION1","REGION1","SEA1D","ELCB02",2022,0
"REGION1","REGION1","SEA1D","ELCB02",2023,0
"REGION1","REGION1","SEA1D","ELCB02",2024,0
"REGION1","REGION1","SEA1D","ELCB02",2025,0
"REGION1","REGION1","SEA1D","ELCB02",2026,0
"REGION1","REGION1","SEA1D","ELCB02",2027,0
"REGION1","REGION1","SEA1D","ELCB02",2028,0
"REGION1","REGION1","SEA1D","ELCB02",2029,0
"REGION1","REGION1","SEA1D","ELCB02",2030,0
"REGION1","REGION1","SEA1D","ELCB02",2031,0
"REGION1","REGION1","SEA1D","ELCB02",2032,0
"REGION1","REGION1","SEA1D","ELCB02",2033,0
"REGION1","REGION1","SEA1D","ELCB02",2034,0
"REGION1","REGION1","SEA1D","ELCB02",2035,0
"REGION1","REGION1","SEA1D","ELCB02",2036,0
"REGION1","REGION1","SEA1D","ELCB02",2037,0
"REGION1","REGION1","SEA1D","ELCB02",2038,0
"REGION1","REGION1","SEA1D","ELCB02",2039,0
"REGION1","REGION1","SEA1D","ELCB02",2040,0
"REGION1","REGION1","SEA1D","ELCB02",2041,0
"REGION1","REGION1","SEA1D","ELCB02",2042,0
"REGION1","REGION1","SEA1D","ELCB02",2043,0
"REGION1","REGION1","SEA1D","ELCB02",2044,0
"REGION1","REGION1","SEA1D","ELCB02",2045,0
"REGION1","REGION1","SEA1D","ELCB02",2046,0
"REGION1","REGION1","SEA1D","ELCB02",2047,0
"REGION1","REGION1","SEA1D","ELCB02",2048,0
"REGION1","REGION1","SEA1D","ELCB02",2049,0
"REGION1","REGION1","SEA1D","ELCB02",2050,0
"REGION1","REGION1","SEA1D","RESKER",2020,0
"REGION1","REGION1","SEA1D","RESKER",2021,0
"REGION1","REGION1","SEA1D","RESKER",2022,0
"REGION1","REGION1","SEA1D","RESKER",2023,0
"REGION1","REGION1","SEA1D","RESKER",2024,0
"REGION1","REGION1","SEA1D","RESKER",2025,0
"REGION1","REGION1","SEA1D","RESKER",2026,0
"REGION1","REGION1","SEA1D","RESKER",2027,0
"REGION1","REGION1","SEA1D","RESKER",2028,0
"REGION1","REGION1","SEA1D","RESKER",2029,0
"REGION1","REGION1","SEA1D","RESKER",2030,0
"REGION1","REGION1","SEA1D","RESKER",2031,0
"REGION1","REGION1","SEA1D","RESKER",2032,0
"REGION1","REGION1","SEA1D","RESKER",2033,0
"REGION1","REGION1","SEA1D","RESKER",2034,0
"REGION1","REGION1","SEA1D","RESKER",2035,0
"REGION1","REGION1","SEA1D","RESKER",2036,0
"REGION1","REGION1","SEA1D","RESKER",2037,0
"REGION1","REGION1","SEA1D","RESKER",2038,0
"REGION1","REGION1","SEA1D","RESKER",2039,0
"REGION1","REGION1","SEA1D","RESKER",2040,0
"REGION1","REGION1","SEA1D","RESKER",2041,0
"REGION1","REGION1","SEA1D","RESKER",2042,0
"REGION1","REGION1","SEA1D","RESKER",2043,0
"REGION1","REGION1","SEA1D","RESKER",2044,0
"REGION1","REGION1","SEA1D","RESKER",2045,0
"REGION1","REGION1","SEA1D","RESKER",2046,0
"REGION1","REGION1","SEA1D","RESKER",2047,0
"REGION1","REGION1","SEA1D","RESKER",2048,0
"REGION1","REGION1","SEA1D","RESKER",2049,0
"REGION1","REGION1","SEA1D","RESKER",2050,0
"REGION1","REGION1","SEA1D","KER",2020,0
"REGION1","REGION1","SEA1D","KER",2021,0
"REGION1","REGION1","SEA1D","KER",2022,0
"REGION1","REGION1","SEA1D","KER",2023,0
"REGION1","REGION1","SEA1D","KER",2024,0
"REGION1","REGION1","SEA1D","KER",2025,0
"REGION1","REGION1","SEA1D","KER",2026,0
"REGION1","REGION1","SEA1D","KER",2027,0
"REGION1","REGION1","SEA1D","KER",2028,0
"REGION1","REGION1","SEA1D","KER",2029,0
"REGION1","REGION1","SEA1D","KER",2030,0
"REGION1","REGION1","SEA1D","KER",2031,0
"REGION1","REGION1","SEA1D","KER",2032,0
"REGION1","REGION1","SEA1D","KER",2033,0
"REGION1","REGION1","SEA1D","KER",2034,0
"REGION1","REGION1","SEA1D","KER",2035,0
"REGION1","REGION1","SEA1D","KER",2036,0
"REGION1","REGION1","SEA1D","KER",2037,0
"REGION1","REGION1","SEA1D","KER",2038,0
"REGION1","REGION1","SEA1D","KER",2039,0
"REGION1","REGION1","SEA1D","KER",2040,0
"REGION1","REGION1","SEA1D","KER",2041,0
"REGION1","REGION1","SEA1D","KER",2042,0
"REGION1","REGION1","SEA1D","KER",2043,0
"REGION1","REGION1","SEA1D","KER",2044,0
"REGION1","REGION1","SEA1D","KER",2045,0
"REGION1","REGION1","SEA1D","KER",2046,0
"REGION1","REGION1","SEA1D","KER",2047,0
"REGION1","REGION1","SEA1D","KER",2048,0
"REGION1","REGION1","SEA1D","KER",2049,0
"REGION1","REGION1","SEA1D","KER",2050,0
"REGION1","REGION1","SEA1D","RESBIO",2020,0
"REGION1","REGION1","SEA1D","RESBIO",2021,0
"REGION1","REGION1","SEA1D","RESBIO",2022,0
"REGION1","REGION1","SEA1D","RESBIO",2023,0
"REGION1","REGION1","SEA1D","RESBIO",2024,0
"REGION1","REGION1","SEA1D","RESBIO",2025,0
"REGION1","REGION1","SEA1D","RESBIO",2026,0
"REGION1","REGION1","SEA1D","RESBIO",2027,0
"REGION1","REGION1","SEA1D","RESBIO",2028,0
"REGION1","REGION1","SEA1D","RESBIO",2029,0
"REGION1","REGION1","SEA1D","RESBIO",2030,0
"REGION1","REGION1","SEA1D","RESBIO",2031,0
"REGION1","REGION1","SEA1D","RESBIO",2032,0
"REGION1","REGION1","SEA1D","RESBIO",2033,0
"REGION1","REGION1","SEA1D","RESBIO",2034,0
"REGION1","REGION1","SEA1D","RESBIO",2035,0
"REGION1","REGION1","SEA1D","RESBIO",2036,0
"REGION1","REGION1","SEA1D","RESBIO",2037,0
"REGION1","REGION1","SEA1D","RESBIO",2038,0
"REGION1","REGION1","SEA1D","RESBIO",2039,0
"REGION1","REGION1","SEA1D","RESBIO",2040,0
"REGION1","REGION1","SEA1D","RESBIO",2041,0
"REGION1","REGION1","SEA1D","RESBIO",2042,0
"REGION1","REGION1","SEA1D","RESBIO",2043,0
"REGION1","REGION1","SEA1D","RESBIO",2044,0
"REGION1","REGION1","SEA1D","RESBIO",2045,0
"REGION1","REGION1","SEA1D","RESBIO",2046,0
"REGION1","REGION1","SEA1D","RESBIO",2047,0
"REGION1","REGION1","SEA1D","RESBIO",2048,0
"REGION1","REGION1","SEA1D","RESBIO",2049,0
"REGION1","REGION1","SEA1D","RESBIO",2050,0
"REGION1","REGION1","SEA1D","RESNGS",2020,0
"REGION1","REGION1","SEA1D","RESNGS",2021,0
"REGION1","REGION1","SEA1D","RESNGS",2022,0
"REGION1","REGION1","SEA1D","RESNGS",2023,0
"REGION1","REGION1","SEA1D","RESNGS",2024,0
"REGION1","REGION1","SEA1D","RESNGS",2025,0
"REGION1","REGION1","SEA1D","RESNGS",2026,0
"REGION1","REGION1","SEA1D","RESNGS",2027,0
"REGION1","REGION1","SEA1D","RESNGS",2028,0
"REGION1","REGION1","SEA1D","RESNGS",2029,0
"REGION1","REGION1","SEA1D","RESNGS",2030,0
"REGION1","REGION1","SEA1D","RESNGS",2031,0
"REGION1","REGION1","SEA1D","RESNGS",2032,0
"REGION1","REGION1","SEA1D","RESNGS",2033,0
"REGION1","REGION1","SEA1D","RESNGS",2034,0
"REGION1","REGION1","SEA1D","RESNGS",2035,0
"REGION1","REGION1","SEA1D","RESNGS",2036,0
"REGION1","REGION1","SEA1D","RESNGS",2037,0
"REGION1","REGION1","SEA1D","RESNGS",2038,0
"REGION1","REGION1","SEA1D","RESNGS",2039,0
"REGION1","REGION1","SEA1D","RESNGS",2040,0
"REGION1","REGION1","SEA1D","RESNGS",2041,0
"REGION1","REGION1","SEA1D","RESNGS",2042,0
"REGION1","REGION1","SEA1D","RESNGS",2043,0
"REGION1","REGION1","SEA1D","RESNGS",2044,0
"REGION1","REGION1","SEA1D","RESNGS",2045,0
"REGION1","REGION1","SEA1D","RESNGS",2046,0
"REGION1","REGION1","SEA1D","RESNGS",2047,0
"REGION1","REGION1","SEA1D","RESNGS",2048,0
"REGION1","REGION1","SEA1D","RESNGS",2049,0
"REGION1","REGION1","SEA1D","RESNGS",2050,0
"REGION1","REGION1","SEA1D","RESELCB02",2020,0
"REGION1","REGION1","SEA1D","RESELCB02",2021,0
"REGION1","REGION1","SEA1D","RESELCB02",2022,0
"REGION1","REGION1","SEA1D","RESELCB02",2023,0
"REGION1","REGION1","SEA1D","RESELCB02",2024,0
"REGION1","REGION1","SEA1D","RESELCB02",2025,0
"REGION1","REGION1","SEA1D","RESELCB02",2026,0
"REGION1","REGION1","SEA1D","RESELCB02",2027,0
"REGION1","REGION1","SEA1D","RESELCB02",2028,0
"REGION1","REGION1","SEA1D","RESELCB02",2029,0
"REGION1","REGION1","SEA1D","RESELCB02",2030,0
"REGION1","REGION1","SEA1D","RESELCB02",2031,0
"REGION1","REGION1","SEA1D","RESELCB02",2032,0
"REGION1","REGION1","SEA1D","RESELCB02",2033,0
"REGION1","REGION1","SEA1D","RESELCB02",2034,0
"REGION1","REGION1","SEA1D","RESELCB02",2035,0
"REGION1","REGION1","SEA1D","RESELCB02",2036,0
"REGION1","REGION1","SEA1D","RESELCB02",2037,0
"REGION1","REGION1","SEA1D","RESELCB02",2038,0
"REGION1","REGION1","SEA1D","RESELCB02",2039,0
"REGION1","REGION1","SEA1D","RESELCB02",2040,0
"REGION1","REGION1","SEA1D","RESELCB02",2041,0
"REGION1","REGION1","SEA1D","RESELCB02",2042,0
"REGION1","REGION1","SEA1D","RESELCB02",2043,0
"REGION1","REGION1","SEA1D","RESELCB02",2044,0
"REGION1","REGION1","SEA1D","RESELCB02",2045,0
"REGION1","REGION1","SEA1D","RESELCB02",2046,0
"REGION1","REGION1","SEA1D","RESELCB02",2047,0
"REGION1","REGION1","SEA1D","RESELCB02",2048,0
"REGION1","REGION1","SEA1D","RESELCB02",2049,0
"REGION1","REGION1","SEA1D","RESELCB02",2050,0
"REGION1","REGION1","SEA1D","COMKER",2020,0
"REGION1","REGION1","SEA1D","COMKER",2021,0
"REGION1","REGION1","SEA1D","COMKER",2022,0
"REGION1","REGION1","SEA1D","COMKER",2023,0
"REGION1","REGION1","SEA1D","COMKER",2024,0
"REGION1","REGION1","SEA1D","COMKER",2025,0
"REGION1","REGION1","SEA1D","COMKER",2026,0
"REGION1","REGION1","SEA1D","COMKER",2027,0
"REGION1","REGION1","SEA1D","COMKER",2028,0
"REGION1","REGION1","SEA1D","COMKER",2029,0
"REGION1","REGION1","SEA1D","COMKER",2030,0
"REGION1","REGION1","SEA1D","COMKER",2031,0
"REGION1","REGION1","SEA1D","COMKER",2032,0
"REGION1","REGION1","SEA1D","COMKER",2033,0
"REGION1","REGION1","SEA1D","COMKER",2034,0
"REGION1","REGION1","SEA1D","COMKER",2035,0
"REGION1","REGION1","SEA1D","COMKER",2036,0
"REGION1","REGION1","SEA1D","COMKER",2037,0
"REGION1","REGION1","SEA1D","COMKER",2038,0
"REGION1","REGION1","SEA1D","COMKER",2039,0
"REGION1","REGION1","SEA1D","COMKER",2040,0
"REGION1","REGION1","SEA1D","COMKER",2041,0
"REGION1","REGION1","SEA1D","COMKER",2042,0
"REGION1","REGION1","SEA1D","COMKER",2043,0
"REGION1","REGION1","SEA1D","COMKER",2044,0
"REGION1","REGION1","SEA1D","COMKER",2045,0
"REGION1","REGION1","SEA1D","COMKER",2046,0
"REGION1","REGION1","SEA1D","COMKER",2047,0
"REGION1","REGION1","SEA1D","COMKER",2048,0
"REGION1","REGION1","SEA1D","COMKER",2049,0
"REGION1","REGION1","SEA1D","COMKER",2050,0
"REGION1","REGION1","SEA1D","COMBIO",2020,0
"REGION1","REGION1","SEA1D","COMBIO",2021,0
"REGION1","REGION1","SEA1D","COMBIO",2022,0
"REGION1","REGION1","SEA1D","COMBIO",2023,0
"REGION1","REGION1","SEA1D","COMBIO",2024,0
"REGION1","REGION1","SEA1D","COMBIO",2025,0
"REGION1","REGION1","SEA1D","COMBIO",2026,0
"REGION1","REGION1","SEA1D","COMBIO",2027,0
"REGION1","REGION1","SEA1D","COMBIO",2028,0
"REGION1","REGION1","SEA1D","COMBIO",2029,0
"REGION1","REGION1","SEA1D","COMBIO",2030,0
"REGION1","REGION1","SEA1D","COMBIO",2031,0
"REGION1","REGION1","SEA1D","COMBIO",2032,0
"REGION1","REGION1","SEA1D","COMBIO",2033,0
"REGION1","REGION1","SEA1D","COMBIO",2034,0
"REGION1","REGION1","SEA1D","COMBIO",2035,0
"REGION1","REGION1","SEA1D","COMBIO",2036,0
"REGION1","REGION1","SEA1D","COMBIO",2037,0
"REGION1","REGION1","SEA1D","COMBIO",2038,0
"REGION1","REGION1","SEA1D","COMBIO",2039,0
"REGION1","REGION1","SEA1D","COMBIO",2040,0
"REGION1","REGION1","SEA1D","COMBIO",2041,0
"REGION1","REGION1","SEA1D","COMBIO",2042,0
"REGION1","REGION1","SEA1D","COMBIO",2043,0
"REGION1","REGION1","SEA1D","COMBIO",2044,0
"REGION1","REGION1","SEA1D","COMBIO",2045,0
"REGION1","REGION1","SEA1D","COMBIO",2046,0
"REGION1","REGION1","SEA1D","COMBIO",2047,0
"REGION1","REGION1","SEA1D","COMBIO",2048,0
"REGION1","REGION1","SEA1D","COMBIO",2049,0
"REGION1","REGION1","SEA1D","COMBIO",2050,0
"REGION1","REGION1","SEA1D","COMNGS",2020,0
"REGION1","REGION1","SEA1D","COMNGS",2021,0
"REGION1","REGION1","SEA1D","COMNGS",2022,0
"REGION1","REGION1","SEA1D","COMNGS",2023,0
"REGION1","REGION1","SEA1D","COMNGS",2024,0
"REGION1","REGION1","SEA1D","COMNGS",2025,0
"REGION1","REGION1","SEA1D","COMNGS",2026,0
"REGION1","REGION1","SEA1D","COMNGS",2027,0
"REGION1","REGION1","SEA1D","COMNGS",2028,0
"REGION1","REGION1","SEA1D","COMNGS",2029,0
"REGION1","REGION1","SEA1D","COMNGS",2030,0
"REGION1","REGION1","SEA1D","COMNGS",2031,0
"REGION1","REGION1","SEA1D","COMNGS",2032,0
"REGION1","REGION1","SEA1D","COMNGS",2033,0
"REGION1","REGION1","SEA1D","COMNGS",2034,0
"REGION1","REGION1","SEA1D","COMNGS",2035,0
"REGION1","REGION1","SEA1D","COMNGS",2036,0
"REGION1","REGION1","SEA1D","COMNGS",2037,0
"REGION1","REGION1","SEA1D","COMNGS",2038,0
"REGION1","REGION1","SEA1D","COMNGS",2039,0
"REGION1","REGION1","SEA1D","COMNGS",2040,0
"REGION1","REGION1","SEA1D","COMNGS",2041,0
"REGION1","REGION1","SEA1D","COMNGS",2042,0
"REGION1","REGION1","SEA1D","COMNGS",2043,0
"REGION1","REGION1","SEA1D","COMNGS",2044,0
"REGION1","REGION1","SEA1D","COMNGS",2045,0
"REGION1","REGION1","SEA1D","COMNGS",2046,0
"REGION1","REGION1","SEA1D","COMNGS",2047,0
"REGION1","REGION1","SEA1D","COMNGS",2048,0
"REGION1","REGION1","SEA1D","COMNGS",2049,0
"REGION1","REGION1","SEA1D","COMNGS",2050,0
"REGION1","REGION1","SEA1D","COMELCB02",2020,0
"REGION1","REGION1","SEA1D","COMELCB02",2021,0
"REGION1","REGION1","SEA1D","COMELCB02",2022,0
"REGION1","REGION1","SEA1D","COMELCB02",2023,0
"REGION1","REGION1","SEA1D","COMELCB02",2024,0
"REGION1","REGION1","SEA1D","COMELCB02",2025,0
"REGION1","REGION1","SEA1D","COMELCB02",2026,0
"REGION1","REGION1","SEA1D","COMELCB02",2027,0
"REGION1","REGION1","SEA1D","COMELCB02",2028,0
"REGION1","REGION1","SEA1D","COMELCB02",2029,0
"REGION1","REGION1","SEA1D","COMELCB02",2030,0
"REGION1","REGION1","SEA1D","COMELCB02",2031,0
