r,t,y,AnnualVariableOperatingCost
REGION1,DEMCOMKER,2037,0.0134
REGION1,DEMCOMKER,2038,0.0135
REGION1,DEMCOMKER,2039,0.0136
REGION1,DEMCOMKER,2040,0.0137
REGION1,DEMCOMKER,2041,0.0142
REGION1,DEMCOMKER,2042,0.0144
REGION1,DEMCOMKER,2043,0.0146
REGION1,DEMCOMKER,2044,0.0148
REGION1,DEMCOMKER,2045,0.0149
REGION1,DEMCOMKER,2046,0.0151
REGION1,DEMCOMKER,2047,0.0153
REGION1,DEMCOMKER,2048,0.0155
REGION1,DEMCOMKER,2049,0.0157
REGION1,DEMCOMKER,2050,0.0159
REGION1,DEMCOMNGS,2020,0.084
REGION1,DEMCOMNGS,2021,0.0841
REGION1,DEMCOMNGS,2022,0.084
REGION1,DEMCOMNGS,2023,0.0841
REGION1,DEMCOMNGS,2024,0.0846
REGION1,DEMCOMNGS,2025,0.0857
REGION1,DEMCOMNGS,2026,0.0872
REGION1,DEMCOMNGS,2027,0.0886
REGION1,DEMCOMNGS,2028,0.0894
REGION1,DEMCOMNGS,2029,0.0904
REGION1,DEMCOMNGS,2030,0.0917
REGION1,DEMCOMNGS,2031,0.0932
REGION1,DEMCOMNGS,2032,0.0943
REGION1,DEMCOMNGS,2033,0.095
REGION1,DEMCOMNGS,2034,0.0956
REGION1,DEMCOMNGS,2035,0.0963
REGION1,DEMCOMNGS,2036,0.097
REGION1,DEMCOMNGS,2037,0.0974
REGION1,DEMCOMNGS,2038,0.0979
REGION1,DEMCOMNGS,2039,0.0984
REGION1,DEMCOMNGS,2040,0.0989
REGION1,DEMCOMNGS,2041,0.1022
REGION1,DEMCOMNGS,2042,0.1033
REGION1,DEMCOMNGS,2043,0.1043
REGION1,DEMCOMNGS,2044,0.1053
REGION1,DEMCOMNGS,2045,0.1063
REGION1,DEMCOMNGS,2046,0.1074
REGION1,DEMCOMNGS,2047,0.1084
REGION1,DEMCOMNGS,2048,0.1094
REGION1,DEMCOMNGS,2049,0.1104
REGION1,DEMCOMNGS,2050,0.1115
REGION1,DEMINDBIO,2020,0.16
REGION1,DEMINDBIO,2021,0.1607
REGION1,DEMINDBIO,2022,0.1611
REGION1,DEMINDBIO,2023,0.1618
REGION1,DEMINDBIO,2024,0.1626
REGION1,DEMINDBIO,2025,0.1621
REGION1,DEMINDBIO,2026,0.1619
REGION1,DEMINDBIO,2027,0.1618
REGION1,DEMINDBIO,2028,0.1617
REGION1,DEMINDBIO,2029,0.1611
REGION1,DEMINDBIO,2030,0.1603
REGION1,DEMINDBIO,2031,0.1593
REGION1,DEMINDBIO,2032,0.1582
REGION1,DEMINDBIO,2033,0.1569
REGION1,DEMINDBIO,2034,0.1554
REGION1,DEMINDBIO,2035,0.1541
REGION1,DEMINDBIO,2036,0.1528
REGION1,DEMINDBIO,2037,0.1515
REGION1,DEMINDBIO,2038,0.1502
REGION1,DEMINDBIO,2039,0.149
REGION1,DEMINDBIO,2040,0.1479
REGION1,DEMINDBIO,2041,0.1474
REGION1,DEMINDBIO,2042,0.1463
REGION1,DEMINDBIO,2043,0.1452
REGION1,DEMINDBIO,2044,0.1441
REGION1,DEMINDBIO,2045,0.143
REGION1,DEMINDBIO,2046,0.1419
REGION1,DEMINDBIO,2047,0.1408
REGION1,DEMINDBIO,2048,0.1397
REGION1,DEMINDBIO,2049,0.1386
REGION1,DEMINDBIO,2050,0.1375
REGION1,DEMINDDSL,2020,0.1085
REGION1,DEMINDDSL,2021,0.1081
REGION1,DEMINDDSL,2022,0.1074
REGION1,DEMINDDSL,2023,0.107
REGION1,DEMINDDSL,2024,0.1073
REGION1,DEMINDDSL,2025,0.1082
REGION1,DEMINDDSL,2026,0.1094
REGION1,DEMINDDSL,2027,0.1106
REGION1,DEMINDDSL,2028,0.1113
REGION1,DEMINDDSL,2029,0.1113
REGION1,DEMINDDSL,2030,0.1114
REGION1,DEMINDDSL,2031,0.1116
REGION1,DEMINDDSL,2032,0.1121
REGION1,DEMINDDSL,2033,0.1122
REGION1,DEMINDDSL,2034,0.1123
REGION1,DEMINDDSL,2035,0.1124
REGION1,DEMINDDSL,2036,0.1127
REGION1,DEMINDDSL,2037,0.113
REGION1,DEMINDDSL,2038,0.1135
REGION1,DEMINDDSL,2039,0.1142
REGION1,DEMINDDSL,2040,0.115
REGION1,DEMINDDSL,2041,0.1146
REGION1,DEMINDDSL,2042,0.1149
REGION1,DEMINDDSL,2043,0.1152
REGION1,DEMINDDSL,2044,0.1155
REGION1,DEMINDDSL,2045,0.1158
REGION1,DEMINDDSL,2046,0.1161
REGION1,DEMINDDSL,2047,0.1164
REGION1,DEMINDDSL,2048,0.1167
REGION1,DEMINDDSL,2049,0.117
REGION1,DEMINDDSL,2050,0.1173
REGION1,DEMINDELCB02,2020,0.1011
REGION1,DEMINDELCB02,2021,0.1014
REGION1,DEMINDELCB02,2022,0.1018
REGION1,DEMINDELCB02,2023,0.1024
REGION1,DEMINDELCB02,2024,0.1041
REGION1,DEMINDELCB02,2025,0.1062
REGION1,DEMINDELCB02,2026,0.1096
REGION1,DEMINDELCB02,2027,0.1096
REGION1,DEMINDELCB02,2028,0.1091
REGION1,DEMINDELCB02,2029,0.1085
REGION1,DEMINDELCB02,2030,0.1096
REGION1,DEMINDELCB02,2031,0.1114
REGION1,DEMINDELCB02,2032,0.113
REGION1,DEMINDELCB02,2033,0.1124
REGION1,DEMINDELCB02,2034,0.1113
REGION1,DEMINDELCB02,2035,0.1104
REGION1,DEMINDELCB02,2036,0.1096
REGION1,DEMINDELCB02,2037,0.1088
REGION1,DEMINDELCB02,2038,0.1083
REGION1,DEMINDELCB02,2039,0.1079
REGION1,DEMINDELCB02,2040,0.1074
REGION1,DEMINDELCB02,2041,0.1074
REGION1,DEMINDELCB02,2042,0.1069
REGION1,DEMINDELCB02,2043,0.1065
REGION1,DEMINDELCB02,2044,0.1061
REGION1,DEMINDELCB02,2045,0.1056
REGION1,DEMINDELCB02,2046,0.1052
REGION1,DEMINDELCB02,2047,0.1048
REGION1,DEMINDELCB02,2048,0.1043
REGION1,DEMINDELCB02,2049,0.1039
REGION1,DEMINDELCB02,2050,0.1034
REGION1,DEMINDNGS,2020,0.2249
REGION1,DEMINDNGS,2021,0.2193
REGION1,DEMINDNGS,2022,0.2139
REGION1,DEMINDNGS,2023,0.2116
REGION1,DEMINDNGS,2024,0.2213
REGION1,DEMINDNGS,2025,0.2428
REGION1,DEMINDNGS,2026,0.2751
REGION1,DEMINDNGS,2027,0.2832
REGION1,DEMINDNGS,2028,0.2846
REGION1,DEMINDNGS,2029,0.2866
REGION1,DEMINDNGS,2030,0.3047
REGION1,DEMINDNGS,2031,0.3305
REGION1,DEMINDNGS,2032,0.3465
REGION1,DEMINDNGS,2033,0.3453
REGION1,DEMINDNGS,2034,0.3444
REGION1,DEMINDNGS,2035,0.3446
REGION1,DEMINDNGS,2036,0.3446
REGION1,DEMINDNGS,2037,0.3442
REGION1,DEMINDNGS,2038,0.3442
REGION1,DEMINDNGS,2039,0.3445
REGION1,DEMINDNGS,2040,0.3448
REGION1,DEMINDNGS,2041,0.3683
REGION1,DEMINDNGS,2042,0.3737
REGION1,DEMINDNGS,2043,0.3792
REGION1,DEMINDNGS,2044,0.3847
REGION1,DEMINDNGS,2045,0.3901
REGION1,DEMINDNGS,2046,0.3956
REGION1,DEMINDNGS,2047,0.4011
REGION1,DEMINDNGS,2048,0.4065
REGION1,DEMINDNGS,2049,0.412
REGION1,DEMINDNGS,2050,0.4174
REGION1,DEMPUBSURBC1,2020,0.0008
REGION1,DEMPUBSURBC1,2021,0.0009
REGION1,DEMPUBSURBC1,2022,0.0009
REGION1,DEMPUBSURBC1,2023,0.0009
REGION1,DEMPUBSURBC1,2024,0.0009
REGION1,DEMPUBSURBC1,2025,0.0009
REGION1,DEMPUBSURBC1,2026,0.0009
REGION1,DEMPUBSURBC1,2027,0.0009
REGION1,DEMPUBSURBC1,2028,0.0009
REGION1,DEMPUBSURBC1,2029,0.0009
REGION1,DEMPUBSURBC1,2030,0.0009
REGION1,DEMPUBSURBC1,2031,0.001
REGION1,DEMPUBSURBC1,2032,0.001
REGION1,DEMPUBSURBC1,2033,0.001
REGION1,DEMPUBSURBC1,2034,0.001
REGION1,DEMPUBSURBC1,2035,0.001
REGION1,DEMPUBSURBC1,2036,0.001
REGION1,DEMPUBSURBC1,2037,0.001
REGION1,DEMPUBSURBC1,2038,0.001
REGION1,DEMPUBSURBC1,2039,0.001
REGION1,DEMPUBSURBC1,2040,0.001
REGION1,DEMPUBSURBC1,2041,0.0011
REGION1,DEMPUBSURBC1,2042,0.0011
REGION1,DEMPUBSURBC1,2043,0.0011
REGION1,DEMPUBSURBC1,2044,0.0011
REGION1,DEMPUBSURBC1,2045,0.0011
REGION1,DEMPUBSURBC1,2046,0.0011
REGION1,DEMPUBSURBC1,2047,0.0011
REGION1,DEMPUBSURBC1,2048,0.0012
REGION1,DEMPUBSURBC1,2049,0.0012
REGION1,DEMPUBSURBC1,2050,0.0012
REGION1,DEMPWRBIO,2020,0.0369
REGION1,DEMPWRBIO,2021,0.0369
REGION1,DEMPWRBIO,2022,0.0369
REGION1,DEMPWRBIO,2023,0.0369
REGION1,DEMPWRBIO,2024,0.0369
REGION1,DEMPWRBIO,2025,0.0241
REGION1,DEMPWRBIO,2026,0.0369
REGION1,DEMPWRBIO,2027,0.0369
REGION1,DEMPWRHYD,2020,0.2409
REGION1,DEMPWRHYD,2021,0.2409
REGION1,DEMPWRHYD,2022,0.2409
REGION1,DEMPWRHYD,2023,0.2409
REGION1,DEMPWRHYD,2024,0.2409
REGION1,DEMPWRHYD,2025,0.2538
REGION1,DEMPWRHYD,2026,0.2538
REGION1,DEMPWRHYD,2027,0.2538
REGION1,DEMPWRHYD,2028,0.2538
REGION1,DEMPWRHYD,2029,0.2538
REGION1,DEMPWRHYD,2030,0.2538
REGION1,DEMPWRHYD,2031,0.2538
REGION1,DEMPWRHYD,2032,0.2538
REGION1,DEMPWRHYD,2033,0.2538
REGION1,DEMPWRHYD,2034,0.2538
REGION1,DEMPWRHYD,2035,0.2538
REGION1,DEMPWRHYD,2036,0.2538
REGION1,DEMPWRHYD,2037,0.2538
REGION1,DEMPWRHYD,2038,0.2538
REGION1,DEMPWRHYD,2039,0.2538
REGION1,DEMPWRHYD,2040,0.2538
REGION1,DEMPWRHYD,2041,0.2538
REGION1,DEMPWRHYD,2042,0.2538
REGION1,DEMPWRHYD,2043,0.2538
REGION1,DEMPWRHYD,2044,0.2538
REGION1,DEMPWRHYD,2045,0.2538
REGION1,DEMPWRHYD,2046,0.2538
REGION1,DEMPWRHYD,2047,0.2538
REGION1,DEMPWRHYD,2048,0.2538
REGION1,DEMPWRHYD,2049,0.2538
REGION1,DEMPWRHYD,2050,0.2538
REGION1,DEMPWRSOL,2020,0.0
REGION1,DEMPWRSOL,2021,0.0
REGION1,DEMPWRSOL,2022,0.0
REGION1,DEMPWRSOL,2023,0.0
REGION1,DEMPWRSOL,2024,0.0
REGION1,DEMPWRSOL,2025,0.0
REGION1,DEMPWRSOL,2026,0.0
REGION1,DEMPWRSOL,2027,0.0
REGION1,DEMPWRSOL,2028,0.0
REGION1,DEMPWRSOL,2029,0.0
REGION1,DEMPWRSOL,2030,0.0
REGION1,DEMPWRSOL,2031,0.0
REGION1,DEMPWRSOL,2032,0.0
REGION1,DEMPWRSOL,2033,0.0
REGION1,DEMPWRSOL,2034,0.0
REGION1,DEMPWRSOL,2035,0.0
REGION1,DEMPWRSOL,2036,0.0
REGION1,DEMPWRSOL,2037,0.0
REGION1,DEMPWRSOL,2038,0.0
REGION1,DEMPWRSOL,2039,0.0
REGION1,DEMPWRSOL,2040,0.0
REGION1,DEMPWRSURBC1,2020,0.0004
REGION1,DEMPWRSURBC1,2021,0.0004
REGION1,DEMPWRSURBC1,2022,0.0004
REGION1,DEMPWRSURBC1,2023,0.0004
REGION1,DEMPWRSURBC1,2024,0.0004
REGION1,DEMPWRSURBC1,2025,0.0002
REGION1,DEMPWRSURBC1,2026,0.0004
REGION1,DEMPWRSURBC1,2027,0.0004
REGION1,DEMPWRWND,2020,0.1537
REGION1,DEMPWRWND,2021,0.167
REGION1,DEMPWRWND,2022,0.1798
REGION1,DEMPWRWND,2023,0.1938
REGION1,DEMPWRWND,2024,0.2111
REGION1,DEMPWRWND,2025,0.2111
REGION1,DEMPWRWND,2026,0.2205
REGION1,DEMPWRWND,2027,0.2318
REGION1,DEMPWRWND,2028,0.2828
REGION1,DEMPWRWND,2029,0.2905
REGION1,DEMPWRWND,2030,0.3049
REGION1,DEMPWRWND,2031,0.3208
REGION1,DEMPWRWND,2032,0.3366
REGION1,DEMPWRWND,2033,0.3462
REGION1,DEMPWRWND,2034,0.3516
REGION1,DEMPWRWND,2035,0.3579
REGION1,DEMPWRWND,2036,0.3648
REGION1,DEMPWRWND,2037,0.3725
REGION1,DEMPWRWND,2038,0.3822
REGION1,DEMPWRWND,2039,0.392
REGION1,DEMPWRWND,2040,0.4019
REGION1,DEMPWRWND,2041,0.4105
REGION1,DEMPWRWND,2042,0.4194
REGION1,DEMPWRWND,2043,0.4282
REGION1,DEMPWRWND,2044,0.437
REGION1,DEMPWRWND,2045,0.4459
REGION1,DEMPWRWND,2046,0.4547
REGION1,DEMPWRWND,2047,0.4636
REGION1,DEMPWRWND,2048,0.4724
REGION1,DEMPWRWND,2049,0.4813
REGION1,DEMPWRWND,2050,0.4901
REGION1,DEMRESBIO,2020,0.013
REGION1,DEMRESBIO,2021,0.0132
REGION1,DEMRESBIO,2022,0.0134
REGION1,DEMRESBIO,2023,0.0137
REGION1,DEMRESBIO,2024,0.014
REGION1,DEMRESBIO,2025,0.0143
REGION1,DEMRESBIO,2026,0.0145
REGION1,DEMRESBIO,2027,0.0147
REGION1,DEMRESBIO,2028,0.0149
REGION1,DEMRESBIO,2029,0.0151
REGION1,DEMRESBIO,2030,0.0153
REGION1,DEMRESBIO,2031,0.0154
REGION1,DEMRESBIO,2032,0.0156
REGION1,DEMRESBIO,2033,0.0157
REGION1,DEMRESBIO,2034,0.0158
REGION1,DEMRESBIO,2035,0.0159
REGION1,DEMRESBIO,2036,0.016
REGION1,DEMRESBIO,2037,0.016
REGION1,DEMRESBIO,2038,0.016
REGION1,DEMRESBIO,2039,0.016
REGION1,DEMRESBIO,2040,0.016
REGION1,DEMRESBIO,2041,0.0159
REGION1,DEMRESBIO,2042,0.016
REGION1,DEMRESBIO,2043,0.0161
REGION1,DEMRESBIO,2044,0.0162
REGION1,DEMRESBIO,2045,0.0162
REGION1,DEMRESBIO,2046,0.0163
REGION1,DEMRESBIO,2047,0.0164
REGION1,DEMRESBIO,2048,0.0165
REGION1,DEMRESBIO,2049,0.0166
REGION1,DEMRESBIO,2050,0.0167
REGION1,DEMRESELCB02,2020,0.0745
REGION1,DEMRESELCB02,2021,0.0761
REGION1,DEMRESELCB02,2022,0.0777
REGION1,DEMRESELCB02,2023,0.0795
REGION1,DEMRESELCB02,2024,0.0811
REGION1,DEMRESELCB02,2025,0.0827
REGION1,DEMRESELCB02,2026,0.0842
REGION1,DEMRESELCB02,2027,0.0856
REGION1,DEMRESELCB02,2028,0.0866
REGION1,DEMRESELCB02,2029,0.0875
REGION1,DEMRESELCB02,2030,0.0884
REGION1,DEMRESELCB02,2031,0.0892
REGION1,DEMRESELCB02,2032,0.09
REGION1,DEMRESELCB02,2033,0.0909
REGION1,DEMRESELCB02,2034,0.0915
REGION1,DEMRESELCB02,2035,0.092
REGION1,DEMRESELCB02,2036,0.0925
REGION1,DEMRESELCB02,2037,0.093
REGION1,DEMRESELCB02,2038,0.0935
REGION1,DEMRESELCB02,2039,0.094
REGION1,DEMRESELCB02,2040,0.0944
REGION1,DEMRESELCB02,2041,0.0953
REGION1,DEMRESELCB02,2042,0.0959
REGION1,DEMRESELCB02,2043,0.0965
REGION1,DEMRESELCB02,2044,0.0971
REGION1,DEMRESELCB02,2045,0.0976
REGION1,DEMRESELCB02,2046,0.0982
REGION1,DEMRESELCB02,2047,0.0988
REGION1,DEMRESELCB02,2048,0.0994
REGION1,DEMRESELCB02,2049,0.1
REGION1,DEMRESELCB02,2050,0.1006
REGION1,DEMRESKER,2020,0.0008
REGION1,DEMRESKER,2021,0.0008
REGION1,DEMRESKER,2022,0.0009
REGION1,DEMRESKER,2023,0.0009
REGION1,DEMRESKER,2024,0.0009
REGION1,DEMRESKER,2025,0.0009
REGION1,DEMRESKER,2026,0.0009
REGION1,DEMRESKER,2027,0.0009
REGION1,DEMRESKER,2028,0.0009
REGION1,DEMRESKER,2029,0.0009
REGION1,DEMRESKER,2030,0.0009
REGION1,DEMRESKER,2031,0.0009
REGION1,DEMRESKER,2032,0.0009
REGION1,DEMRESKER,2033,0.0009
REGION1,DEMRESKER,2034,0.0009
REGION1,DEMRESKER,2035,0.0009
REGION1,DEMRESKER,2036,0.0009
REGION1,DEMRESKER,2037,0.0009
REGION1,DEMRESKER,2038,0.0009
REGION1,DEMRESKER,2039,0.0009
REGION1,DEMRESKER,2040,0.0009
REGION1,DEMRESNGS,2020,0.082
REGION1,DEMRESNGS,2021,0.0833
REGION1,DEMRESNGS,2022,0.0846
REGION1,DEMRESNGS,2023,0.0861
REGION1,DEMRESNGS,2024,0.0876
REGION1,DEMRESNGS,2025,0.0891
REGION1,DEMRESNGS,2026,0.0903
REGION1,DEMRESNGS,2027,0.0914
REGION1,DEMRESNGS,2028,0.0925
REGION1,DEMRESNGS,2029,0.0934
REGION1,DEMRESNGS,2030,0.0941
REGION1,DEMRESNGS,2031,0.0948
REGION1,DEMRESNGS,2032,0.0955
REGION1,DEMRESNGS,2033,0.096
REGION1,DEMRESNGS,2034,0.0966
REGION1,DEMRESNGS,2035,0.097
REGION1,DEMRESNGS,2036,0.0972
REGION1,DEMRESNGS,2037,0.0973
REGION1,DEMRESNGS,2038,0.0974
REGION1,DEMRESNGS,2039,0.0973
REGION1,DEMRESNGS,2040,0.0972
REGION1,DEMRESNGS,2041,0.0995
REGION1,DEMRESNGS,2042,0.1002
REGION1,DEMRESNGS,2043,0.1009
REGION1,DEMRESNGS,2044,0.1016
REGION1,DEMRESNGS,2045,0.1023
REGION1,DEMRESNGS,2046,0.103
REGION1,DEMRESNGS,2047,0.1036
REGION1,DEMRESNGS,2048,0.1043
REGION1,DEMRESNGS,2049,0.105
REGION1,DEMRESNGS,2050,0.1057
REGION1,DEMTRABIO,2020,0.0233
REGION1,DEMTRABIO,2021,0.023
REGION1,DEMTRABIO,2022,0.0227
REGION1,DEMTRABIO,2023,0.0223
REGION1,DEMTRABIO,2024,0.022
REGION1,DEMTRABIO,2025,0.0218
REGION1,DEMTRABIO,2026,0.0216
REGION1,DEMTRABIO,2027,0.0215
REGION1,DEMTRABIO,2028,0.0213
REGION1,DEMTRABIO,2029,0.0211
REGION1,DEMTRABIO,2030,0.021
REGION1,DEMTRABIO,2031,0.0208
REGION1,DEMTRABIO,2032,0.0206
REGION1,DEMTRABIO,2033,0.0203
REGION1,DEMTRABIO,2034,0.0201
REGION1,DEMTRABIO,2035,0.0198
REGION1,DEMTRABIO,2036,0.0195
REGION1,DEMTRABIO,2037,0.0192
REGION1,DEMTRABIO,2038,0.019
REGION1,DEMTRABIO,2039,0.0187
REGION1,DEMTRABIO,2040,0.0184
REGION1,DEMTRABIO,2041,0.0183
REGION1,DEMTRABIO,2042,0.0181
REGION1,DEMTRABIO,2043,0.0179
REGION1,DEMTRABIO,2044,0.0176
REGION1,DEMTRABIO,2045,0.0174
REGION1,DEMTRABIO,2046,0.0172
REGION1,DEMTRABIO,2047,0.0169
REGION1,DEMTRABIO,2048,0.0167
REGION1,DEMTRABIO,2049,0.0165
REGION1,DEMTRABIO,2050,0.0162
REGION1,DEMTRADSL,2020,0.0988
REGION1,DEMTRADSL,2021,0.0976
REGION1,DEMTRADSL,2022,0.0961
REGION1,DEMTRADSL,2023,0.0948
REGION1,DEMTRADSL,2024,0.0938
REGION1,DEMTRADSL,2025,0.0934
REGION1,DEMTRADSL,2026,0.0932
REGION1,DEMTRADSL,2027,0.0931
REGION1,DEMTRADSL,2028,0.0924
REGION1,DEMTRADSL,2029,0.0919
REGION1,DEMTRADSL,2030,0.0915
REGION1,DEMTRADSL,2031,0.091
REGION1,DEMTRADSL,2032,0.0902
REGION1,DEMTRADSL,2033,0.0896
REGION1,DEMTRADSL,2034,0.089
REGION1,DEMTRADSL,2035,0.0883
REGION1,DEMTRADSL,2036,0.0871
REGION1,DEMTRADSL,2037,0.0864
REGION1,DEMTRADSL,2038,0.0859
REGION1,DEMTRADSL,2039,0.0853
REGION1,DEMTRADSL,2040,0.0849
REGION1,DEMTRADSL,2041,0.0842
REGION1,DEMTRADSL,2042,0.0835
REGION1,DEMTRADSL,2043,0.0829
REGION1,DEMTRADSL,2044,0.0823
REGION1,DEMTRADSL,2045,0.0816
REGION1,DEMTRADSL,2046,0.081
REGION1,DEMTRADSL,2047,0.0803
REGION1,DEMTRADSL,2048,0.0797
REGION1,DEMTRADSL,2049,0.0791
REGION1,DEMTRADSL,2050,0.0784
REGION1,DEMTRAELCB02,2020,0.0012
