r,t,f,y,ProductionByTechnologyAnnual
REGION1,DEMCOMELCB02,COMELCB02,2034,71.95
REGION1,DEMCOMELCB02,COMELCB02,2035,73.09
REGION1,DEMCOMELCB02,COMELCB02,2036,74.23
REGION1,DEMCOMELCB02,COMELCB02,2037,75.37
REGION1,DEMCOMELCB02,COMELCB02,2038,76.51
REGION1,DEMCOMELCB02,COMELCB02,2039,77.65
REGION1,DEMCOMELCB02,COMELCB02,2040,78.79
REGION1,DEMCOMELCB02,COMELCB02,2041,79.93
REGION1,DEMCOMELCB02,COMELCB02,2042,81.07
REGION1,DEMCOMELCB02,COMELCB02,2043,82.21
REGION1,DEMCOMELCB02,COMELCB02,2044,83.35
REGION1,DEMCOMELCB02,COMELCB02,2045,84.49
REGION1,DEMCOMELCB02,COMELCB02,2046,85.63
REGION1,DEMCOMELCB02,COMELCB02,2047,86.77
REGION1,DEMCOMELCB02,COMELCB02,2048,87.91
REGION1,DEMCOMELCB02,COMELCB02,2049,89.05
REGION1,DEMCOMELCB02,COMELCB02,2050,90.19
REGION1,DEMCOMKER,COMKER,2020,10.57
REGION1,DEMCOMKER,COMKER,2021,10.8
REGION1,DEMCOMKER,COMKER,2022,11.0
REGION1,DEMCOMKER,COMKER,2023,11.17
REGION1,DEMCOMKER,COMKER,2024,11.33
REGION1,DEMCOMKER,COMKER,2025,11.48
REGION1,DEMCOMKER,COMKER,2026,11.65
REGION1,DEMCOMKER,COMKER,2027,11.83
REGION1,DEMCOMKER,COMKER,2028,12.03
REGION1,DEMCOMKER,COMKER,2029,12.23
REGION1,DEMCOMKER,COMKER,2030,12.41
REGION1,DEMCOMKER,COMKER,2031,12.57
REGION1,DEMCOMKER,COMKER,2032,12.73
REGION1,DEMCOMKER,COMKER,2033,12.87
REGION1,DEMCOMKER,COMKER,2034,13.02
REGION1,DEMCOMKER,COMKER,2035,13.16
REGION1,DEMCOMKER,COMKER,2036,13.29
REGION1,DEMCOMKER,COMKER,2037,13.4
REGION1,DEMCOMKER,COMKER,2038,13.51
REGION1,DEMCOMKER,COMKER,2039,13.6
REGION1,DEMCOMKER,COMKER,2040,13.7
REGION1,DEMCOMKER,COMKER,2041,14.196
REGION1,DEMCOMKER,COMKER,2042,14.384
REGION1,DEMCOMKER,COMKER,2043,14.573
REGION1,DEMCOMKER,COMKER,2044,14.761
REGION1,DEMCOMKER,COMKER,2045,14.949
REGION1,DEMCOMKER,COMKER,2046,15.137
REGION1,DEMCOMKER,COMKER,2047,15.325
REGION1,DEMCOMKER,COMKER,2048,15.513
REGION1,DEMCOMKER,COMKER,2049,15.701
REGION1,DEMCOMKER,COMKER,2050,15.89
REGION1,DEMCOMNGS,COMNGS,2020,84.05
REGION1,DEMCOMNGS,COMNGS,2021,84.1
REGION1,DEMCOMNGS,COMNGS,2022,84.04
REGION1,DEMCOMNGS,COMNGS,2023,84.11
REGION1,DEMCOMNGS,COMNGS,2024,84.63
REGION1,DEMCOMNGS,COMNGS,2025,85.66
REGION1,DEMCOMNGS,COMNGS,2026,82.23
REGION1,DEMCOMNGS,COMNGS,2027,78.81
REGION1,DEMCOMNGS,COMNGS,2028,75.38
REGION1,DEMCOMNGS,COMNGS,2029,71.95
REGION1,DEMCOMNGS,COMNGS,2030,68.53
REGION1,DEMCOMNGS,COMNGS,2031,65.1
REGION1,DEMCOMNGS,COMNGS,2032,61.68
REGION1,DEMCOMNGS,COMNGS,2033,58.25
REGION1,DEMCOMNGS,COMNGS,2034,54.82
REGION1,DEMCOMNGS,COMNGS,2035,51.4
REGION1,DEMCOMNGS,COMNGS,2036,47.97
REGION1,DEMCOMNGS,COMNGS,2037,44.54
REGION1,DEMCOMNGS,COMNGS,2038,41.12
REGION1,DEMCOMNGS,COMNGS,2039,37.69
REGION1,DEMCOMNGS,COMNGS,2040,34.26
REGION1,DEMCOMNGS,COMNGS,2041,30.84
REGION1,DEMCOMNGS,COMNGS,2042,27.41
REGION1,DEMCOMNGS,COMNGS,2043,23.99
REGION1,DEMCOMNGS,COMNGS,2044,20.56
REGION1,DEMCOMNGS,COMNGS,2045,17.13
REGION1,DEMCOMNGS,COMNGS,2046,13.71
REGION1,DEMCOMNGS,COMNGS,2047,10.28
REGION1,DEMCOMNGS,COMNGS,2048,6.85
REGION1,DEMCOMNGS,COMNGS,2049,3.43
REGION1,DEMCOMNGS,COMNGS,2050,0.001
REGION1,DEMINDBIO,INDBIO,2020,160.04
REGION1,DEMINDBIO,INDBIO,2021,160.69
REGION1,DEMINDBIO,INDBIO,2022,161.12
REGION1,DEMINDBIO,INDBIO,2023,161.83
REGION1,DEMINDBIO,INDBIO,2024,162.64
REGION1,DEMINDBIO,INDBIO,2025,162.14
REGION1,DEMINDBIO,INDBIO,2026,161.92
REGION1,DEMINDBIO,INDBIO,2027,161.8201
REGION1,DEMINDBIO,INDBIO,2028,161.68
REGION1,DEMINDBIO,INDBIO,2029,161.08
REGION1,DEMINDBIO,INDBIO,2030,160.31
REGION1,DEMINDBIO,INDBIO,2031,159.32
REGION1,DEMINDBIO,INDBIO,2032,158.18
REGION1,DEMINDBIO,INDBIO,2033,156.9
REGION1,DEMINDBIO,INDBIO,2034,155.39
REGION1,DEMINDBIO,INDBIO,2035,154.1
REGION1,DEMINDBIO,INDBIO,2036,152.78
REGION1,DEMINDBIO,INDBIO,2037,151.47
REGION1,DEMINDBIO,INDBIO,2038,150.21
REGION1,DEMINDBIO,INDBIO,2039,149.0199
REGION1,DEMINDBIO,INDBIO,2040,147.87
REGION1,DEMINDBIO,INDBIO,2041,147.372
REGION1,DEMINDBIO,INDBIO,2042,146.2771
REGION1,DEMINDBIO,INDBIO,2043,145.181
REGION1,DEMINDBIO,INDBIO,2044,144.085
REGION1,DEMINDBIO,INDBIO,2045,142.99
REGION1,DEMINDBIO,INDBIO,2046,141.894
REGION1,DEMINDBIO,INDBIO,2047,140.799
REGION1,DEMINDBIO,INDBIO,2048,139.703
REGION1,DEMINDBIO,INDBIO,2049,138.608
REGION1,DEMINDBIO,INDBIO,2050,137.512
REGION1,DEMINDDSL,INDDSL,2020,108.46
REGION1,DEMINDDSL,INDDSL,2021,108.13
REGION1,DEMINDDSL,INDDSL,2022,107.38
REGION1,DEMINDDSL,INDDSL,2023,106.95
REGION1,DEMINDDSL,INDDSL,2024,107.33
REGION1,DEMINDDSL,INDDSL,2025,108.15
REGION1,DEMINDDSL,INDDSL,2026,109.45
REGION1,DEMINDDSL,INDDSL,2027,110.63
REGION1,DEMINDDSL,INDDSL,2028,111.27
REGION1,DEMINDDSL,INDDSL,2029,111.29
REGION1,DEMINDDSL,INDDSL,2030,111.38
REGION1,DEMINDDSL,INDDSL,2031,111.65
REGION1,DEMINDDSL,INDDSL,2032,112.12
REGION1,DEMINDDSL,INDDSL,2033,112.25
REGION1,DEMINDDSL,INDDSL,2034,112.31
REGION1,DEMINDDSL,INDDSL,2035,112.44
REGION1,DEMINDDSL,INDDSL,2036,112.66
REGION1,DEMINDDSL,INDDSL,2037,113.02
REGION1,DEMINDDSL,INDDSL,2038,113.53
REGION1,DEMINDDSL,INDDSL,2039,114.19
REGION1,DEMINDDSL,INDDSL,2040,114.97
REGION1,DEMINDDSL,INDDSL,2041,114.606
REGION1,DEMINDDSL,INDDSL,2042,114.905
REGION1,DEMINDDSL,INDDSL,2043,115.205
REGION1,DEMINDDSL,INDDSL,2044,115.504
REGION1,DEMINDDSL,INDDSL,2045,115.803
REGION1,DEMINDDSL,INDDSL,2046,116.103
REGION1,DEMINDDSL,INDDSL,2047,116.402
REGION1,DEMINDDSL,INDDSL,2048,116.702
REGION1,DEMINDDSL,INDDSL,2049,117.001
REGION1,DEMINDDSL,INDDSL,2050,117.3
REGION1,DEMINDELCB02,INDELCB02,2020,101.14
REGION1,DEMINDELCB02,INDELCB02,2021,101.4
REGION1,DEMINDELCB02,INDELCB02,2022,101.77
REGION1,DEMINDELCB02,INDELCB02,2023,102.35
REGION1,DEMINDELCB02,INDELCB02,2024,114.88
REGION1,DEMINDELCB02,INDELCB02,2025,116.99
REGION1,DEMINDELCB02,INDELCB02,2026,120.41
REGION1,DEMINDELCB02,INDELCB02,2027,120.37
REGION1,DEMINDELCB02,INDELCB02,2028,119.91
REGION1,DEMINDELCB02,INDELCB02,2029,119.3
REGION1,DEMINDELCB02,INDELCB02,2030,120.42
REGION1,DEMINDELCB02,INDELCB02,2031,122.18
REGION1,DEMINDELCB02,INDELCB02,2032,123.76
REGION1,DEMINDELCB02,INDELCB02,2033,123.21
REGION1,DEMINDELCB02,INDELCB02,2034,122.11
REGION1,DEMINDELCB02,INDELCB02,2035,121.18
REGION1,DEMINDELCB02,INDELCB02,2036,120.35
REGION1,DEMINDELCB02,INDELCB02,2037,119.63
REGION1,DEMINDELCB02,INDELCB02,2038,119.14
REGION1,DEMINDELCB02,INDELCB02,2039,118.66
REGION1,DEMINDELCB02,INDELCB02,2040,118.18
REGION1,DEMINDELCB02,INDELCB02,2041,118.18
REGION1,DEMINDELCB02,INDELCB02,2042,117.74
REGION1,DEMINDELCB02,INDELCB02,2043,117.31
REGION1,DEMINDELCB02,INDELCB02,2044,116.87
REGION1,DEMINDELCB02,INDELCB02,2045,116.43
REGION1,DEMINDELCB02,INDELCB02,2046,116.0
REGION1,DEMINDELCB02,INDELCB02,2047,115.56
REGION1,DEMINDELCB02,INDELCB02,2048,115.12
REGION1,DEMINDELCB02,INDELCB02,2049,114.69
REGION1,DEMINDELCB02,INDELCB02,2050,114.25
REGION1,DEMINDNGS,INDNGS,2020,224.86
REGION1,DEMINDNGS,INDNGS,2021,219.32
REGION1,DEMINDNGS,INDNGS,2022,213.92
REGION1,DEMINDNGS,INDNGS,2023,211.63
REGION1,DEMINDNGS,INDNGS,2024,221.34
REGION1,DEMINDNGS,INDNGS,2025,242.83
REGION1,DEMINDNGS,INDNGS,2026,275.13
REGION1,DEMINDNGS,INDNGS,2027,283.17
REGION1,DEMINDNGS,INDNGS,2028,284.61
REGION1,DEMINDNGS,INDNGS,2029,286.5601
REGION1,DEMINDNGS,INDNGS,2030,304.7
REGION1,DEMINDNGS,INDNGS,2031,330.46
REGION1,DEMINDNGS,INDNGS,2032,346.53
REGION1,DEMINDNGS,INDNGS,2033,345.33
REGION1,DEMINDNGS,INDNGS,2034,344.45
REGION1,DEMINDNGS,INDNGS,2035,344.61
REGION1,DEMINDNGS,INDNGS,2036,344.59
REGION1,DEMINDNGS,INDNGS,2037,344.24
REGION1,DEMINDNGS,INDNGS,2038,344.23
REGION1,DEMINDNGS,INDNGS,2039,344.49
REGION1,DEMINDNGS,INDNGS,2040,344.82
REGION1,DEMINDNGS,INDNGS,2041,368.255
REGION1,DEMINDNGS,INDNGS,2042,373.721
REGION1,DEMINDNGS,INDNGS,2043,379.187
REGION1,DEMINDNGS,INDNGS,2044,384.653
REGION1,DEMINDNGS,INDNGS,2045,390.119
REGION1,DEMINDNGS,INDNGS,2046,395.585
REGION1,DEMINDNGS,INDNGS,2047,401.051
REGION1,DEMINDNGS,INDNGS,2048,406.517
REGION1,DEMINDNGS,INDNGS,2049,411.983
REGION1,DEMINDNGS,INDNGS,2050,417.449
REGION1,DEMPUBSURBC1,PUBWATBC1,2020,0.85
REGION1,DEMPUBSURBC1,PUBWATBC1,2021,0.86
REGION1,DEMPUBSURBC1,PUBWATBC1,2022,0.86
REGION1,DEMPUBSURBC1,PUBWATBC1,2023,0.87
REGION1,DEMPUBSURBC1,PUBWATBC1,2024,0.88
REGION1,DEMPUBSURBC1,PUBWATBC1,2025,0.89
REGION1,DEMPUBSURBC1,PUBWATBC1,2026,0.9
REGION1,DEMPUBSURBC1,PUBWATBC1,2027,0.91
REGION1,DEMPUBSURBC1,PUBWATBC1,2028,0.92
REGION1,DEMPUBSURBC1,PUBWATBC1,2029,0.93
REGION1,DEMPUBSURBC1,PUBWATBC1,2030,0.94
REGION1,DEMPUBSURBC1,PUBWATBC1,2031,0.95
REGION1,DEMPUBSURBC1,PUBWATBC1,2032,0.96
REGION1,DEMPUBSURBC1,PUBWATBC1,2033,0.98
REGION1,DEMPUBSURBC1,PUBWATBC1,2034,0.99
REGION1,DEMPUBSURBC1,PUBWATBC1,2035,1.0
REGION1,DEMPUBSURBC1,PUBWATBC1,2036,1.01
REGION1,DEMPUBSURBC1,PUBWATBC1,2037,1.02
REGION1,DEMPUBSURBC1,PUBWATBC1,2038,1.03
REGION1,DEMPUBSURBC1,PUBWATBC1,2039,1.04
REGION1,DEMPUBSURBC1,PUBWATBC1,2040,1.05
REGION1,DEMPUBSURBC1,PUBWATBC1,2041,1.06
REGION1,DEMPUBSURBC1,PUBWATBC1,2042,1.08
REGION1,DEMPUBSURBC1,PUBWATBC1,2043,1.09
REGION1,DEMPUBSURBC1,PUBWATBC1,2044,1.1
REGION1,DEMPUBSURBC1,PUBWATBC1,2045,1.11
REGION1,DEMPUBSURBC1,PUBWATBC1,2046,1.12
REGION1,DEMPUBSURBC1,PUBWATBC1,2047,1.14
REGION1,DEMPUBSURBC1,PUBWATBC1,2048,1.15
REGION1,DEMPUBSURBC1,PUBWATBC1,2049,1.16
REGION1,DEMPUBSURBC1,PUBWATBC1,2050,1.17
REGION1,DEMPWRBIO,PWRBIO,2020,36.8995
REGION1,DEMPWRBIO,PWRBIO,2021,36.8995
REGION1,DEMPWRBIO,PWRBIO,2022,36.8995
REGION1,DEMPWRBIO,PWRBIO,2023,36.8995
REGION1,DEMPWRBIO,PWRBIO,2024,36.8995
REGION1,DEMPWRBIO,PWRBIO,2025,36.8995
REGION1,DEMPWRBIO,PWRBIO,2026,36.8995
REGION1,DEMPWRBIO,PWRBIO,2027,36.8995
REGION1,DEMPWRBIO,PWRBIO,2028,36.8995
REGION1,DEMPWRBIO,PWRBIO,2029,36.8995
REGION1,DEMPWRBIO,PWRBIO,2030,36.8995
REGION1,DEMPWRBIO,PWRBIO,2031,36.8995
REGION1,DEMPWRBIO,PWRBIO,2032,36.8995
REGION1,DEMPWRBIO,PWRBIO,2033,36.8995
REGION1,DEMPWRBIO,PWRBIO,2034,36.8995
REGION1,DEMPWRBIO,PWRBIO,2035,36.8995
REGION1,DEMPWRBIO,PWRBIO,2036,36.8995
REGION1,DEMPWRBIO,PWRBIO,2037,36.8995
REGION1,DEMPWRBIO,PWRBIO,2038,36.8995
REGION1,DEMPWRBIO,PWRBIO,2039,36.8995
REGION1,DEMPWRBIO,PWRBIO,2040,36.8995
REGION1,DEMPWRBIO,PWRBIO,2041,36.8995
REGION1,DEMPWRBIO,PWRBIO,2042,36.8995
REGION1,DEMPWRBIO,PWRBIO,2043,36.8995
REGION1,DEMPWRBIO,PWRBIO,2044,36.8995
REGION1,DEMPWRBIO,PWRBIO,2045,36.8995
REGION1,DEMPWRBIO,PWRBIO,2046,36.8995
REGION1,DEMPWRBIO,PWRBIO,2047,36.8995
REGION1,DEMPWRBIO,PWRBIO,2048,36.8995
REGION1,DEMPWRBIO,PWRBIO,2049,36.8995
REGION1,DEMPWRBIO,PWRBIO,2050,36.8995
REGION1,DEMPWRGEO,PWRGEO,2025,11.4895
REGION1,DEMPWRGEO,PWRGEO,2026,75.5316
REGION1,DEMPWRGEO,PWRGEO,2027,113.8827
REGION1,DEMPWRGEO,PWRGEO,2028,149.1243
REGION1,DEMPWRGEO,PWRGEO,2029,183.2553
REGION1,DEMPWRGEO,PWRGEO,2030,230.2689
REGION1,DEMPWRGEO,PWRGEO,2031,282.0207
REGION1,DEMPWRGEO,PWRGEO,2032,332.3659
REGION1,DEMPWRGEO,PWRGEO,2033,366.9412
REGION1,DEMPWRGEO,PWRGEO,2034,397.4444
REGION1,DEMPWRGEO,PWRGEO,2035,433.9092
REGION1,DEMPWRGEO,PWRGEO,2036,466.4854
REGION1,DEMPWRGEO,PWRGEO,2037,508.5391
REGION1,DEMPWRGEO,PWRGEO,2038,543.5108
REGION1,DEMPWRGEO,PWRGEO,2039,543.5108
REGION1,DEMPWRGEO,PWRGEO,2040,543.5108
REGION1,DEMPWRGEO,PWRGEO,2041,543.5108
REGION1,DEMPWRGEO,PWRGEO,2042,543.5108
REGION1,DEMPWRGEO,PWRGEO,2043,543.5108
REGION1,DEMPWRGEO,PWRGEO,2044,543.5108
REGION1,DEMPWRGEO,PWRGEO,2045,543.5108
REGION1,DEMPWRGEO,PWRGEO,2046,543.5108
REGION1,DEMPWRGEO,PWRGEO,2047,543.5108
REGION1,DEMPWRGEO,PWRGEO,2048,543.5108
REGION1,DEMPWRGEO,PWRGEO,2049,543.5108
REGION1,DEMPWRGEO,PWRGEO,2050,543.5108
REGION1,DEMPWRHYD,PWRHYD,2020,240.933
REGION1,DEMPWRHYD,PWRHYD,2021,240.933
REGION1,DEMPWRHYD,PWRHYD,2022,240.933
REGION1,DEMPWRHYD,PWRHYD,2023,240.933
REGION1,DEMPWRHYD,PWRHYD,2024,240.933
REGION1,DEMPWRHYD,PWRHYD,2025,253.8115
REGION1,DEMPWRHYD,PWRHYD,2026,253.8115
REGION1,DEMPWRHYD,PWRHYD,2027,253.8115
REGION1,DEMPWRHYD,PWRHYD,2028,253.8115
REGION1,DEMPWRHYD,PWRHYD,2029,253.8115
REGION1,DEMPWRHYD,PWRHYD,2030,253.8115
REGION1,DEMPWRHYD,PWRHYD,2031,253.8115
REGION1,DEMPWRHYD,PWRHYD,2032,253.8115
REGION1,DEMPWRHYD,PWRHYD,2033,253.8115
REGION1,DEMPWRHYD,PWRHYD,2034,253.8115
REGION1,DEMPWRHYD,PWRHYD,2035,253.8115
REGION1,DEMPWRHYD,PWRHYD,2036,253.8115
REGION1,DEMPWRHYD,PWRHYD,2037,253.8115
REGION1,DEMPWRHYD,PWRHYD,2038,253.8115
REGION1,DEMPWRHYD,PWRHYD,2039,253.8115
REGION1,DEMPWRHYD,PWRHYD,2040,253.8115
REGION1,DEMPWRHYD,PWRHYD,2041,253.8115
REGION1,DEMPWRHYD,PWRHYD,2042,253.8115
REGION1,DEMPWRHYD,PWRHYD,2043,253.8115
REGION1,DEMPWRHYD,PWRHYD,2044,253.8115
REGION1,DEMPWRHYD,PWRHYD,2045,253.8115
REGION1,DEMPWRHYD,PWRHYD,2046,255.4196
REGION1,DEMPWRHYD,PWRHYD,2047,257.0243
REGION1,DEMPWRHYD,PWRHYD,2048,258.6324
REGION1,DEMPWRHYD,PWRHYD,2049,260.2404
REGION1,DEMPWRHYD,PWRHYD,2050,261.8485
REGION1,DEMPWRNGS,PWRNGS,2024,16.7343
REGION1,DEMPWRSOL,PWRSOL,2020,0.0157
REGION1,DEMPWRSOL,PWRSOL,2021,0.0157
REGION1,DEMPWRSOL,PWRSOL,2022,0.0157
REGION1,DEMPWRSOL,PWRSOL,2023,0.0157
REGION1,DEMPWRSOL,PWRSOL,2024,0.0157
REGION1,DEMPWRSOL,PWRSOL,2025,0.0157
REGION1,DEMPWRSOL,PWRSOL,2026,0.0157
REGION1,DEMPWRSOL,PWRSOL,2027,0.0157
REGION1,DEMPWRSOL,PWRSOL,2028,0.0157
REGION1,DEMPWRSOL,PWRSOL,2029,0.0157
REGION1,DEMPWRSOL,PWRSOL,2030,0.0157
REGION1,DEMPWRSOL,PWRSOL,2031,0.0157
REGION1,DEMPWRSOL,PWRSOL,2032,0.0157
REGION1,DEMPWRSOL,PWRSOL,2033,0.0157
REGION1,DEMPWRSOL,PWRSOL,2034,0.0157
REGION1,DEMPWRSOL,PWRSOL,2035,0.0157
REGION1,DEMPWRSOL,PWRSOL,2036,0.0157
REGION1,DEMPWRSOL,PWRSOL,2037,0.0157
REGION1,DEMPWRSOL,PWRSOL,2038,4.8529
REGION1,DEMPWRSOL,PWRSOL,2039,13.3559
REGION1,DEMPWRSOL,PWRSOL,2040,13.3559
REGION1,DEMPWRSOL,PWRSOL,2041,13.3402
REGION1,DEMPWRSOL,PWRSOL,2042,13.3402
REGION1,DEMPWRSOL,PWRSOL,2043,13.3402
REGION1,DEMPWRSOL,PWRSOL,2044,13.3402
REGION1,DEMPWRSOL,PWRSOL,2045,13.3402
REGION1,DEMPWRSOL,PWRSOL,2046,13.3402
REGION1,DEMPWRSOL,PWRSOL,2047,13.3402
REGION1,DEMPWRSOL,PWRSOL,2048,13.3402
REGION1,DEMPWRSOL,PWRSOL,2049,13.3402
REGION1,DEMPWRSOL,PWRSOL,2050,13.3402
REGION1,DEMPWRSURBC1,PWRWATBC1,2020,0.3768
REGION1,DEMPWRSURBC1,PWRWATBC1,2021,0.3768
REGION1,DEMPWRSURBC1,PWRWATBC1,2022,0.3768
REGION1,DEMPWRSURBC1,PWRWATBC1,2023,0.3768
REGION1,DEMPWRSURBC1,PWRWATBC1,2024,0.5175
REGION1,DEMPWRSURBC1,PWRWATBC1,2025,0.3804
REGION1,DEMPWRSURBC1,PWRWATBC1,2026,0.4006
REGION1,DEMPWRSURBC1,PWRWATBC1,2027,0.4126
REGION1,DEMPWRSURBC1,PWRWATBC1,2028,0.4237
REGION1,DEMPWRSURBC1,PWRWATBC1,2029,0.4344
REGION1,DEMPWRSURBC1,PWRWATBC1,2030,0.4493
REGION1,DEMPWRSURBC1,PWRWATBC1,2031,0.4656
REGION1,DEMPWRSURBC1,PWRWATBC1,2032,0.4814
REGION1,DEMPWRSURBC1,PWRWATBC1,2033,0.4923
