r,t,y,AccumulatedNewCapacity
REGION1,DEMCOMNGS,2034,55.3737
REGION1,DEMCOMNGS,2035,51.9192
REGION1,DEMCOMNGS,2036,48.4545
REGION1,DEMCOMNGS,2037,44.9899
REGION1,DEMCOMNGS,2038,41.5354
REGION1,DEMCOMNGS,2039,38.0707
REGION1,DEMCOMNGS,2040,34.6061
REGION1,DEMCOMNGS,2041,31.1515
REGION1,DEMCOMNGS,2042,27.6869
REGION1,DEMCOMNGS,2043,24.2323
REGION1,DEMCOMNGS,2044,20.7677
REGION1,DEMCOMNGS,2045,17.303
REGION1,DEMCOMNGS,2046,13.8485
REGION1,DEMCOMNGS,2047,10.3838
REGION1,DEMCOMNGS,2048,6.9192
REGION1,DEMCOMNGS,2049,3.4646
REGION1,DEMCOMNGS,2050,0.001
REGION1,DEMINDBIO,2020,161.6566
REGION1,DEMINDBIO,2021,162.3131
REGION1,DEMINDBIO,2022,162.7475
REGION1,DEMINDBIO,2023,163.4646
REGION1,DEMINDBIO,2024,164.2828
REGION1,DEMINDBIO,2025,163.7778
REGION1,DEMINDBIO,2026,163.5556
REGION1,DEMINDBIO,2027,163.4546
REGION1,DEMINDBIO,2028,163.3131
REGION1,DEMINDBIO,2029,162.7071
REGION1,DEMINDBIO,2030,161.9293
REGION1,DEMINDBIO,2031,160.9293
REGION1,DEMINDBIO,2032,159.7778
REGION1,DEMINDBIO,2033,158.4848
REGION1,DEMINDBIO,2034,156.9596
REGION1,DEMINDBIO,2035,155.6566
REGION1,DEMINDBIO,2036,154.3232
REGION1,DEMINDBIO,2037,153.0
REGION1,DEMINDBIO,2038,151.7273
REGION1,DEMINDBIO,2039,150.5252
REGION1,DEMINDBIO,2040,149.3636
REGION1,DEMINDBIO,2041,148.8606
REGION1,DEMINDBIO,2042,147.7546
REGION1,DEMINDBIO,2043,146.6475
REGION1,DEMINDBIO,2044,145.5404
REGION1,DEMINDBIO,2045,144.4343
REGION1,DEMINDBIO,2046,143.3273
REGION1,DEMINDBIO,2047,142.2212
REGION1,DEMINDBIO,2048,141.1141
REGION1,DEMINDBIO,2049,140.0081
REGION1,DEMINDBIO,2050,138.901
REGION1,DEMINDDSL,2020,109.5556
REGION1,DEMINDDSL,2021,109.2222
REGION1,DEMINDDSL,2022,108.4646
REGION1,DEMINDDSL,2023,108.0303
REGION1,DEMINDDSL,2024,108.4141
REGION1,DEMINDDSL,2025,109.2424
REGION1,DEMINDDSL,2026,110.5556
REGION1,DEMINDDSL,2027,111.7475
REGION1,DEMINDDSL,2028,112.3939
REGION1,DEMINDDSL,2029,112.4141
REGION1,DEMINDDSL,2030,112.505
REGION1,DEMINDDSL,2031,112.7778
REGION1,DEMINDDSL,2032,113.2525
REGION1,DEMINDDSL,2033,113.3838
REGION1,DEMINDDSL,2034,113.4444
REGION1,DEMINDDSL,2035,113.5758
REGION1,DEMINDDSL,2036,113.798
REGION1,DEMINDDSL,2037,114.1616
REGION1,DEMINDDSL,2038,114.6768
REGION1,DEMINDDSL,2039,115.3434
REGION1,DEMINDDSL,2040,116.1313
REGION1,DEMINDDSL,2041,115.7636
REGION1,DEMINDDSL,2042,116.0657
REGION1,DEMINDDSL,2043,116.3687
REGION1,DEMINDDSL,2044,116.6707
REGION1,DEMINDDSL,2045,116.9727
REGION1,DEMINDDSL,2046,117.2758
REGION1,DEMINDDSL,2047,117.5778
REGION1,DEMINDDSL,2048,117.8808
REGION1,DEMINDDSL,2049,118.1828
REGION1,DEMINDDSL,2050,118.4848
REGION1,DEMINDELCB02,2020,146.0911
REGION1,DEMINDELCB02,2021,146.4667
REGION1,DEMINDELCB02,2022,147.0011
REGION1,DEMINDELCB02,2023,147.8389
REGION1,DEMINDELCB02,2024,165.9378
REGION1,DEMINDELCB02,2025,168.9856
REGION1,DEMINDELCB02,2026,173.9256
REGION1,DEMINDELCB02,2027,173.8678
REGION1,DEMINDELCB02,2028,173.2033
REGION1,DEMINDELCB02,2029,172.3222
REGION1,DEMINDELCB02,2030,173.94
REGION1,DEMINDELCB02,2031,176.4822
REGION1,DEMINDELCB02,2032,178.7644
REGION1,DEMINDELCB02,2033,177.97
REGION1,DEMINDELCB02,2034,176.3811
REGION1,DEMINDELCB02,2035,175.0378
REGION1,DEMINDELCB02,2036,173.8389
REGION1,DEMINDELCB02,2037,172.7989
REGION1,DEMINDELCB02,2038,172.0911
REGION1,DEMINDELCB02,2039,171.3978
REGION1,DEMINDELCB02,2040,170.7044
REGION1,DEMINDELCB02,2041,170.7044
REGION1,DEMINDELCB02,2042,170.0689
REGION1,DEMINDELCB02,2043,169.4478
REGION1,DEMINDELCB02,2044,168.8122
REGION1,DEMINDELCB02,2045,168.1767
REGION1,DEMINDELCB02,2046,167.5556
REGION1,DEMINDELCB02,2047,166.92
REGION1,DEMINDELCB02,2048,166.2844
REGION1,DEMINDELCB02,2049,165.6633
REGION1,DEMINDELCB02,2050,165.0278
REGION1,DEMINDNGS,2020,227.1313
REGION1,DEMINDNGS,2021,221.5354
REGION1,DEMINDNGS,2022,216.0808
REGION1,DEMINDNGS,2023,213.7677
REGION1,DEMINDNGS,2024,223.5758
REGION1,DEMINDNGS,2025,245.2828
REGION1,DEMINDNGS,2026,277.9091
REGION1,DEMINDNGS,2027,286.0303
REGION1,DEMINDNGS,2028,287.4848
REGION1,DEMINDNGS,2029,289.4546
REGION1,DEMINDNGS,2030,307.7778
REGION1,DEMINDNGS,2031,333.798
REGION1,DEMINDNGS,2032,350.0303
REGION1,DEMINDNGS,2033,348.8182
REGION1,DEMINDNGS,2034,347.9293
REGION1,DEMINDNGS,2035,348.0909
REGION1,DEMINDNGS,2036,348.0707
REGION1,DEMINDNGS,2037,347.7172
REGION1,DEMINDNGS,2038,347.7071
REGION1,DEMINDNGS,2039,347.9697
REGION1,DEMINDNGS,2040,348.303
REGION1,DEMINDNGS,2041,371.9747
REGION1,DEMINDNGS,2042,377.496
REGION1,DEMINDNGS,2043,383.0172
REGION1,DEMINDNGS,2044,388.5384
REGION1,DEMINDNGS,2045,394.0596
REGION1,DEMINDNGS,2046,399.5808
REGION1,DEMINDNGS,2047,405.102
REGION1,DEMINDNGS,2048,410.6232
REGION1,DEMINDNGS,2049,416.1444
REGION1,DEMINDNGS,2050,421.6657
REGION1,DEMPUBSURBC1,2020,0.8586
REGION1,DEMPUBSURBC1,2021,0.8687
REGION1,DEMPUBSURBC1,2022,0.8687
REGION1,DEMPUBSURBC1,2023,0.8788
REGION1,DEMPUBSURBC1,2024,0.8889
REGION1,DEMPUBSURBC1,2025,0.899
REGION1,DEMPUBSURBC1,2026,0.9091
REGION1,DEMPUBSURBC1,2027,0.9192
REGION1,DEMPUBSURBC1,2028,0.9293
REGION1,DEMPUBSURBC1,2029,0.9394
REGION1,DEMPUBSURBC1,2030,0.9495
REGION1,DEMPUBSURBC1,2031,0.9596
REGION1,DEMPUBSURBC1,2032,0.9697
REGION1,DEMPUBSURBC1,2033,0.9899
REGION1,DEMPUBSURBC1,2034,1.0
REGION1,DEMPUBSURBC1,2035,1.0101
REGION1,DEMPUBSURBC1,2036,1.0202
REGION1,DEMPUBSURBC1,2037,1.0303
REGION1,DEMPUBSURBC1,2038,1.0404
REGION1,DEMPUBSURBC1,2039,1.0505
REGION1,DEMPUBSURBC1,2040,1.0606
REGION1,DEMPUBSURBC1,2041,1.0707
REGION1,DEMPUBSURBC1,2042,1.0909
REGION1,DEMPUBSURBC1,2043,1.101
REGION1,DEMPUBSURBC1,2044,1.1111
REGION1,DEMPUBSURBC1,2045,1.1212
REGION1,DEMPUBSURBC1,2046,1.1313
REGION1,DEMPUBSURBC1,2047,1.1515
REGION1,DEMPUBSURBC1,2048,1.1616
REGION1,DEMPUBSURBC1,2049,1.1717
REGION1,DEMPUBSURBC1,2050,1.1818
REGION1,DEMPWRBIO,2020,37.2722
REGION1,DEMPWRBIO,2021,37.2722
REGION1,DEMPWRBIO,2022,37.2722
REGION1,DEMPWRBIO,2023,37.2722
REGION1,DEMPWRBIO,2024,37.2722
REGION1,DEMPWRBIO,2025,37.2722
REGION1,DEMPWRBIO,2026,37.2722
REGION1,DEMPWRBIO,2027,37.2722
REGION1,DEMPWRBIO,2028,37.2722
REGION1,DEMPWRBIO,2029,37.2722
REGION1,DEMPWRBIO,2030,37.2722
REGION1,DEMPWRBIO,2031,37.2722
REGION1,DEMPWRBIO,2032,37.2722
REGION1,DEMPWRBIO,2033,37.2722
REGION1,DEMPWRBIO,2034,37.2722
REGION1,DEMPWRBIO,2035,37.2722
REGION1,DEMPWRBIO,2036,37.2722
REGION1,DEMPWRBIO,2037,37.2722
REGION1,DEMPWRBIO,2038,37.2722
REGION1,DEMPWRBIO,2039,37.2722
REGION1,DEMPWRBIO,2040,37.2722
REGION1,DEMPWRBIO,2041,37.2722
REGION1,DEMPWRBIO,2042,37.2722
REGION1,DEMPWRBIO,2043,37.2722
REGION1,DEMPWRBIO,2044,37.2722
REGION1,DEMPWRBIO,2045,37.2722
REGION1,DEMPWRBIO,2046,37.2722
REGION1,DEMPWRBIO,2047,37.2722
REGION1,DEMPWRBIO,2048,37.2722
REGION1,DEMPWRBIO,2049,37.2722
REGION1,DEMPWRBIO,2050,37.2722
REGION1,DEMPWRGEO,2025,11.6056
REGION1,DEMPWRGEO,2026,76.2945
REGION1,DEMPWRGEO,2027,115.033
REGION1,DEMPWRGEO,2028,150.6306
REGION1,DEMPWRGEO,2029,185.1064
REGION1,DEMPWRGEO,2030,232.5948
REGION1,DEMPWRGEO,2031,284.8694
REGION1,DEMPWRGEO,2032,335.7231
REGION1,DEMPWRGEO,2033,370.6477
REGION1,DEMPWRGEO,2034,401.459
REGION1,DEMPWRGEO,2035,438.2921
REGION1,DEMPWRGEO,2036,471.1974
REGION1,DEMPWRGEO,2037,513.6759
REGION1,DEMPWRGEO,2038,549.0008
REGION1,DEMPWRGEO,2039,549.0008
REGION1,DEMPWRGEO,2040,549.0008
REGION1,DEMPWRGEO,2041,549.0008
REGION1,DEMPWRGEO,2042,549.0008
REGION1,DEMPWRGEO,2043,549.0008
REGION1,DEMPWRGEO,2044,549.0008
REGION1,DEMPWRGEO,2045,549.0008
REGION1,DEMPWRGEO,2046,549.0008
REGION1,DEMPWRGEO,2047,549.0008
REGION1,DEMPWRGEO,2048,549.0008
REGION1,DEMPWRGEO,2049,549.0008
REGION1,DEMPWRGEO,2050,549.0008
REGION1,DEMPWRHYD,2020,340.2499
REGION1,DEMPWRHYD,2021,342.9656
REGION1,DEMPWRHYD,2022,345.7052
REGION1,DEMPWRHYD,2023,349.1003
REGION1,DEMPWRHYD,2024,361.3774
REGION1,DEMPWRHYD,2025,377.5499
REGION1,DEMPWRHYD,2026,382.7628
REGION1,DEMPWRHYD,2027,385.8846
REGION1,DEMPWRHYD,2028,388.7532
REGION1,DEMPWRHYD,2029,391.5314
REGION1,DEMPWRHYD,2030,395.3583
REGION1,DEMPWRHYD,2031,399.5708
REGION1,DEMPWRHYD,2032,403.6688
REGION1,DEMPWRHYD,2033,406.4832
REGION1,DEMPWRHYD,2034,408.9661
REGION1,DEMPWRHYD,2035,411.4263
REGION1,DEMPWRHYD,2036,414.078
REGION1,DEMPWRHYD,2037,416.5433
REGION1,DEMPWRHYD,2038,418.8055
REGION1,DEMPWRHYD,2039,421.8105
REGION1,DEMPWRHYD,2040,424.6731
REGION1,DEMPWRHYD,2041,427.8198
REGION1,DEMPWRHYD,2042,430.7065
REGION1,DEMPWRHYD,2043,433.0821
REGION1,DEMPWRHYD,2044,435.9628
REGION1,DEMPWRHYD,2045,438.7968
REGION1,DEMPWRHYD,2046,443.3078
REGION1,DEMPWRHYD,2047,447.8094
REGION1,DEMPWRHYD,2048,452.3204
REGION1,DEMPWRHYD,2049,456.8314
REGION1,DEMPWRHYD,2050,461.3424
REGION1,DEMPWRNGS,2024,16.9033
REGION1,DEMPWRSOL,2020,0.0403
REGION1,DEMPWRSOL,2021,0.0403
REGION1,DEMPWRSOL,2022,0.0403
REGION1,DEMPWRSOL,2023,0.0403
REGION1,DEMPWRSOL,2024,0.0403
REGION1,DEMPWRSOL,2025,0.0403
REGION1,DEMPWRSOL,2026,0.0403
REGION1,DEMPWRSOL,2027,0.0403
REGION1,DEMPWRSOL,2028,0.0403
REGION1,DEMPWRSOL,2029,0.0403
REGION1,DEMPWRSOL,2030,0.0403
REGION1,DEMPWRSOL,2031,0.0403
REGION1,DEMPWRSOL,2032,0.0403
REGION1,DEMPWRSOL,2033,0.0403
REGION1,DEMPWRSOL,2034,0.0403
REGION1,DEMPWRSOL,2035,0.0403
REGION1,DEMPWRSOL,2036,0.0403
REGION1,DEMPWRSOL,2037,0.0403
REGION1,DEMPWRSOL,2038,12.4604
REGION1,DEMPWRSOL,2039,34.2931
REGION1,DEMPWRSOL,2040,34.2931
REGION1,DEMPWRSOL,2041,34.2528
REGION1,DEMPWRSOL,2042,34.2528
REGION1,DEMPWRSOL,2043,34.2528
REGION1,DEMPWRSOL,2044,34.2528
REGION1,DEMPWRSOL,2045,34.2528
REGION1,DEMPWRSOL,2046,34.2528
REGION1,DEMPWRSOL,2047,34.2528
REGION1,DEMPWRSOL,2048,34.2528
REGION1,DEMPWRSOL,2049,34.2528
REGION1,DEMPWRSOL,2050,34.2528
REGION1,DEMPWRSURBC1,2020,0.3806
REGION1,DEMPWRSURBC1,2021,0.3806
REGION1,DEMPWRSURBC1,2022,0.3806
REGION1,DEMPWRSURBC1,2023,0.3806
REGION1,DEMPWRSURBC1,2024,0.5227
REGION1,DEMPWRSURBC1,2025,0.3842
REGION1,DEMPWRSURBC1,2026,0.4046
REGION1,DEMPWRSURBC1,2027,0.4168
REGION1,DEMPWRSURBC1,2028,0.428
REGION1,DEMPWRSURBC1,2029,0.4388
REGION1,DEMPWRSURBC1,2030,0.4538
REGION1,DEMPWRSURBC1,2031,0.4703
REGION1,DEMPWRSURBC1,2032,0.4863
REGION1,DEMPWRSURBC1,2033,0.4973
REGION1,DEMPWRSURBC1,2034,0.507
REGION1,DEMPWRSURBC1,2035,0.5186
REGION1,DEMPWRSURBC1,2036,0.5289
REGION1,DEMPWRSURBC1,2037,0.5423
REGION1,DEMPWRSURBC1,2038,0.5534
REGION1,DEMPWRSURBC1,2039,0.6834
REGION1,DEMPWRSURBC1,2040,0.8847
REGION1,DEMPWRSURBC1,2041,1.1061
REGION1,DEMPWRSURBC1,2042,1.3091
REGION1,DEMPWRSURBC1,2043,1.6054
REGION1,DEMPWRSURBC1,2044,1.8079
REGION1,DEMPWRSURBC1,2045,2.0212
REGION1,DEMPWRSURBC1,2046,2.1751
REGION1,DEMPWRSURBC1,2047,2.3287
REGION1,DEMPWRSURBC1,2048,2.4825
REGION1,DEMPWRSURBC1,2049,2.6364
REGION1,DEMPWRSURBC1,2050,2.7903
REGION1,DEMPWRURN,2039,10.3121
REGION1,DEMPWRURN,2040,26.2894
REGION1,DEMPWRURN,2041,43.8643
REGION1,DEMPWRURN,2042,59.9761
REGION1,DEMPWRURN,2043,83.4868
REGION1,DEMPWRURN,2044,99.565
REGION1,DEMPWRURN,2045,116.49
REGION1,DEMPWRURN,2046,128.7035
REGION1,DEMPWRURN,2047,140.8914
REGION1,DEMPWRURN,2048,153.1049
REGION1,DEMPWRURN,2049,165.3184
REGION1,DEMPWRURN,2050,177.5319
REGION1,DEMPWRWND,2020,208.0146
REGION1,DEMPWRWND,2021,226.512
REGION1,DEMPWRWND,2022,244.4425
REGION1,DEMPWRWND,2023,263.8673
REGION1,DEMPWRWND,2024,314.8577
REGION1,DEMPWRWND,2025,314.8577
REGION1,DEMPWRWND,2026,314.8577
REGION1,DEMPWRWND,2027,314.8577
REGION1,DEMPWRWND,2028,314.8577
REGION1,DEMPWRWND,2029,314.8577
REGION1,DEMPWRWND,2030,314.8577
REGION1,DEMPWRWND,2031,314.8577
REGION1,DEMPWRWND,2032,314.8577
REGION1,DEMPWRWND,2033,314.8577
REGION1,DEMPWRWND,2034,314.8577
REGION1,DEMPWRWND,2035,312.4214
REGION1,DEMPWRWND,2036,312.4214
REGION1,DEMPWRWND,2037,307.849
REGION1,DEMPWRWND,2038,301.88
REGION1,DEMPWRWND,2039,296.3142
REGION1,DEMPWRWND,2040,296.3142
REGION1,DEMPWRWND,2041,296.3142
REGION1,DEMPWRWND,2042,296.3142
REGION1,DEMPWRWND,2043,287.1023
REGION1,DEMPWRWND,2044,287.1023
REGION1,DEMPWRWND,2045,286.1446
REGION1,DEMPWRWND,2046,286.1446
REGION1,DEMPWRWND,2047,286.1446
REGION1,DEMPWRWND,2048,286.1446
REGION1,DEMPWRWND,2049,286.1446
REGION1,DEMPWRWND,2050,286.1446
REGION1,DEMRESBIO,2020,13.1111
REGION1,DEMRESBIO,2021,13.3636
REGION1,DEMRESBIO,2022,13.5859
REGION1,DEMRESBIO,2023,13.8586
REGION1,DEMRESBIO,2024,14.1414
REGION1,DEMRESBIO,2025,14.404
REGION1,DEMRESBIO,2026,14.6566
REGION1,DEMRESBIO,2027,14.8687
REGION1,DEMRESBIO,2028,15.0909
REGION1,DEMRESBIO,2029,15.2929
REGION1,DEMRESBIO,2030,15.4444
REGION1,DEMRESBIO,2031,15.596
REGION1,DEMRESBIO,2032,15.7475
REGION1,DEMRESBIO,2033,15.8586
REGION1,DEMRESBIO,2034,15.9798
REGION1,DEMRESBIO,2035,16.0707
REGION1,DEMRESBIO,2036,16.1212
REGION1,DEMRESBIO,2037,16.1515
REGION1,DEMRESBIO,2038,16.1616
REGION1,DEMRESBIO,2039,16.1414
REGION1,DEMRESBIO,2040,16.1212
REGION1,DEMRESBIO,2041,16.0667
REGION1,DEMRESBIO,2042,16.1515
REGION1,DEMRESBIO,2043,16.2374
REGION1,DEMRESBIO,2044,16.3232
REGION1,DEMRESBIO,2045,16.4081
REGION1,DEMRESBIO,2046,16.4939
REGION1,DEMRESBIO,2047,16.5788
REGION1,DEMRESBIO,2048,16.6646
REGION1,DEMRESBIO,2049,16.7505
REGION1,DEMRESBIO,2050,16.8354
REGION1,DEMRESELCB02,2020,107.5678
REGION1,DEMRESELCB02,2021,109.9656
REGION1,DEMRESELCB02,2022,112.2478
REGION1,DEMRESELCB02,2023,114.7756
REGION1,DEMRESELCB02,2024,117.1011
REGION1,DEMRESELCB02,2025,119.4267
REGION1,DEMRESELCB02,2026,121.2756
REGION1,DEMRESELCB02,2027,123.11
REGION1,DEMRESELCB02,2028,124.9589
REGION1,DEMRESELCB02,2029,126.7933
REGION1,DEMRESELCB02,2030,128.6422
REGION1,DEMRESELCB02,2031,130.4911
REGION1,DEMRESELCB02,2032,132.3256
REGION1,DEMRESELCB02,2033,134.1744
REGION1,DEMRESELCB02,2034,136.0089
REGION1,DEMRESELCB02,2035,137.8578
REGION1,DEMRESELCB02,2036,139.7067
REGION1,DEMRESELCB02,2037,141.5411
REGION1,DEMRESELCB02,2038,143.39
REGION1,DEMRESELCB02,2039,145.2244
REGION1,DEMRESELCB02,2040,147.0733
REGION1,DEMRESELCB02,2041,148.9078
REGION1,DEMRESELCB02,2042,150.7567
REGION1,DEMRESELCB02,2043,152.6056
REGION1,DEMRESELCB02,2044,154.44
REGION1,DEMRESELCB02,2045,156.2889
REGION1,DEMRESELCB02,2046,158.1233
REGION1,DEMRESELCB02,2047,159.9722
REGION1,DEMRESELCB02,2048,161.8211
REGION1,DEMRESELCB02,2049,163.6556
REGION1,DEMRESELCB02,2050,165.5044
REGION1,DEMRESKER,2020,0.8485
REGION1,DEMRESKER,2021,0.8586
REGION1,DEMRESKER,2022,0.8687
REGION1,DEMRESKER,2023,0.8788
REGION1,DEMRESKER,2024,0.8788
REGION1,DEMRESKER,2025,0.8788
REGION1,DEMRESKER,2026,0.8889
REGION1,DEMRESKER,2027,0.8889
REGION1,DEMRESKER,2028,0.8889
REGION1,DEMRESKER,2029,0.8889
REGION1,DEMRESKER,2030,0.8889
REGION1,DEMRESKER,2031,0.8889
