DAYTYPE,DAYSCRO,VALUE
1,365,0
2,1,1
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,1
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,0
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,1
2,49,0
2,50,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,56,0
2,57,1
2,58,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,1
2,64,1
2,65,0
2,66,1
2,67,1
2,68,1
2,69,1
2,70,0
2,71,0
2,72,1
2,73,1
2,74,0
2,75,0
2,76,1
2,77,1
2,78,0
2,79,0
2,80,0
2,81,1
2,82,0
2,83,1
2,84,1
2,85,0
2,86,0
2,87,0
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,1
2,94,0
2,95,0
2,96,0
2,97,1
2,98,0
2,99,0
2,100,1
2,101,1
2,102,1
2,103,0
2,104,1
2,105,1
2,106,1
2,107,1
2,108,1
2,109,1
2,110,1
2,111,0
2,112,1
2,113,1
2,114,1
2,115,1
2,116,0
2,117,1
2,118,1
2,119,0
2,120,0
2,121,0
2,122,1
2,123,1
2,124,1
2,125,1
2,126,1
2,127,0
2,128,0
2,129,1
2,130,1
2,131,1
2,132,1
2,133,1
2,134,1
2,135,0
2,136,0
2,137,1
2,138,1
2,139,1
2,140,1
2,141,1
2,142,1
2,143,1
2,144,1
2,145,1
2,146,1
2,147,1
2,148,0
2,149,0
2,150,0
2,151,0
2,152,0
2,153,1
2,154,0
2,155,0
2,156,0
2,157,1
2,158,1
2,159,1
2,160,1
2,161,0
2,162,0
2,163,1
2,164,1
2,165,1
2,166,1
2,167,0
2,168,1
2,169,1
2,170,1
2,171,1
2,172,0
2,173,0
2,174,1
2,175,0
2,176,0
2,177,1
2,178,1
2,179,1
2,180,1
2,181,1
2,182,1
2,183,1
2,184,1
2,185,1
2,186,1
2,187,1
2,188,1
2,189,1
2,190,1
2,191,1
2,192,1
2,193,1
2,194,1
2,195,0
2,196,1
2,197,1
2,198,1
2,199,1
2,200,1
2,201,1
2,202,1
2,203,0
2,204,0
2,205,0
2,206,1
2,207,1
2,208,0
2,209,1
2,210,1
2,211,1
2,212,1
2,213,1
2,214,1
2,215,1
2,216,1
2,217,1
2,218,0
2,219,0
2,220,1
2,221,0
2,222,0
2,223,0
2,224,1
2,225,0
2,226,0
2,227,0
2,228,1
2,229,1
2,230,0
2,231,1
2,232,1
2,233,1
2,234,1
2,235,1
2,236,1
2,237,1
2,238,1
2,239,0
2,240,0
2,241,0
2,242,1
2,243,1
2,244,1
2,245,1
2,246,1
2,247,1
2,248,0
2,249,0
2,250,1
2,251,1
2,252,1
2,253,1
2,254,0
2,255,0
2,256,0
2,257,0
2,258,0
2,259,1
2,260,1
2,261,1
2,262,0
2,263,0
2,264,0
2,265,0
2,266,0
2,267,0
2,268,1
2,269,1
2,270,1
2,271,0
2,272,0
2,273,0
2,274,0
2,275,0
2,276,0
2,277,1
2,278,1
2,279,1
2,280,0
2,281,0
2,282,0
2,283,0
2,284,1
2,285,0
2,286,0
2,287,0
2,288,0
2,289,1
2,290,1
2,291,1
2,292,1
2,293,1
2,294,1
2,295,1
2,296,1
2,297,1
2,298,1
2,299,1
2,300,0
2,301,0
2,302,0
2,303,1
2,304,1
2,305,1
2,306,1
2,307,1
2,308,1
2,309,1
2,310,1
2,311,0
2,312,1
2,313,1
2,314,0
2,315,1
2,316,0
2,317,0
2,318,1
2,319,1
2,320,1
2,321,0
2,322,0
2,323,0
2,324,1
2,325,0
2,326,0
2,327,1
2,328,0
2,329,0
2,330,0
2,331,0
2,332,0
2,333,0
2,334,0
2,335,0
2,336,0
2,337,0
2,338,1
2,339,1
2,340,0
2,341,0
2,342,0
2,343,0
2,344,0
2,345,0
2,346,1
2,347,1
2,348,1
2,349,1
2,350,1
2,351,0
2,352,1
2,353,1
2,354,0
2,355,0
2,356,1
2,357,1
2,358,1
2,359,1
2,360,1
2,361,0
2,362,1
2,363,0
2,364,1
2,365,1
