r,t,y,AnnualFixedOperatingCost
REGION1,PWRBIOB04,2040,33.9444
REGION1,PWRBIOB04,2041,33.9444
REGION1,PWRBIOB04,2042,33.9444
REGION1,PWRBIOB04,2043,33.9444
REGION1,PWRBIOB04,2044,33.9444
REGION1,PWRBIOB04,2045,33.9444
REGION1,PWRBIOB04,2046,33.9444
REGION1,PWRBIOB04,2047,33.9444
REGION1,PWRBIOB04,2048,33.9444
REGION1,PWRBIOB04,2049,33.9444
REGION1,PWRBIOB04,2050,33.9444
REGION1,PWRBIOB05,2020,20.1152
REGION1,PWRBIOB05,2021,20.1152
REGION1,PWRBIOB05,2022,20.1152
REGION1,PWRBIOB05,2023,20.1152
REGION1,PWRBIOB05,2024,20.1152
REGION1,PWRBIOB05,2025,20.1152
REGION1,PWRBIOB05,2026,20.1152
REGION1,PWRBIOB05,2027,20.1152
REGION1,PWRBIOB05,2028,20.1152
REGION1,PWRBIOB05,2029,20.1152
REGION1,PWRBIOB05,2030,20.1152
REGION1,PWRBIOB05,2031,20.1152
REGION1,PWRBIOB05,2032,20.1152
REGION1,PWRBIOB05,2033,20.1152
REGION1,PWRBIOB05,2034,20.1152
REGION1,PWRBIOB05,2035,20.1152
REGION1,PWRBIOB05,2036,20.1152
REGION1,PWRBIOB05,2037,20.1152
REGION1,PWRBIOB05,2038,20.1152
REGION1,PWRBIOB05,2039,20.1152
REGION1,PWRBIOB05,2040,20.1152
REGION1,PWRBIOB05,2041,20.1152
REGION1,PWRBIOB05,2042,20.1152
REGION1,PWRBIOB05,2043,20.1152
REGION1,PWRBIOB05,2044,20.1152
REGION1,PWRBIOB05,2045,20.1152
REGION1,PWRBIOB05,2046,20.1152
REGION1,PWRBIOB05,2047,20.1152
REGION1,PWRBIOB05,2048,20.1152
REGION1,PWRBIOB05,2049,20.1152
REGION1,PWRBIOB05,2050,20.1152
REGION1,PWRBIOB06,2050,66.8116
REGION1,PWRGEOB01,2026,51.4176
REGION1,PWRGEOB01,2027,51.4176
REGION1,PWRGEOB01,2028,51.4176
REGION1,PWRGEOB01,2029,51.4176
REGION1,PWRGEOB01,2030,51.4176
REGION1,PWRGEOB01,2031,51.4176
REGION1,PWRGEOB01,2032,51.4176
REGION1,PWRGEOB01,2033,51.4176
REGION1,PWRGEOB01,2034,51.4176
REGION1,PWRGEOB01,2035,51.4176
REGION1,PWRGEOB01,2036,51.4176
REGION1,PWRGEOB01,2037,51.4176
REGION1,PWRGEOB01,2038,51.4176
REGION1,PWRGEOB01,2039,51.4176
REGION1,PWRGEOB01,2040,51.4176
REGION1,PWRGEOB01,2041,51.4176
REGION1,PWRGEOB01,2042,51.4176
REGION1,PWRGEOB01,2043,51.4176
REGION1,PWRGEOB01,2044,51.4176
REGION1,PWRGEOB01,2045,51.4176
REGION1,PWRGEOB01,2046,51.4176
REGION1,PWRGEOB01,2047,51.4176
REGION1,PWRGEOB01,2048,51.4176
REGION1,PWRGEOB01,2049,51.4176
REGION1,PWRGEOB01,2050,51.4176
REGION1,PWRGEOB02,2026,143.4081
REGION1,PWRGEOB02,2027,334.2144
REGION1,PWRGEOB02,2028,334.2144
REGION1,PWRGEOB02,2029,334.2144
REGION1,PWRGEOB02,2030,334.2144
REGION1,PWRGEOB02,2031,334.2144
REGION1,PWRGEOB02,2032,334.2144
REGION1,PWRGEOB02,2033,334.2144
REGION1,PWRGEOB02,2034,334.2144
REGION1,PWRGEOB02,2035,334.2144
REGION1,PWRGEOB02,2036,334.2144
REGION1,PWRGEOB02,2037,334.2144
REGION1,PWRGEOB02,2038,334.2144
REGION1,PWRGEOB02,2039,334.2144
REGION1,PWRGEOB02,2040,334.2144
REGION1,PWRGEOB02,2041,334.2144
REGION1,PWRGEOB02,2042,334.2144
REGION1,PWRGEOB02,2043,334.2144
REGION1,PWRGEOB02,2044,334.2144
REGION1,PWRGEOB02,2045,334.2144
REGION1,PWRGEOB02,2046,334.2144
REGION1,PWRGEOB02,2047,334.2144
REGION1,PWRGEOB02,2048,334.2144
REGION1,PWRGEOB02,2049,334.2144
REGION1,PWRGEOB02,2050,334.2144
REGION1,PWRHYDB01,2020,81.5178
REGION1,PWRHYDB01,2021,81.5178
REGION1,PWRHYDB01,2022,81.5178
REGION1,PWRHYDB01,2023,81.5178
REGION1,PWRHYDB01,2024,81.5178
REGION1,PWRHYDB01,2025,81.5178
REGION1,PWRHYDB01,2026,81.5178
REGION1,PWRHYDB01,2027,81.5178
REGION1,PWRHYDB01,2028,81.5178
REGION1,PWRHYDB01,2029,81.5178
REGION1,PWRHYDB01,2030,81.5178
REGION1,PWRHYDB01,2031,81.5178
REGION1,PWRHYDB01,2032,81.5178
REGION1,PWRHYDB01,2033,81.5178
REGION1,PWRHYDB01,2034,81.5178
REGION1,PWRHYDB01,2035,81.5178
REGION1,PWRHYDB01,2036,81.5178
REGION1,PWRHYDB01,2037,81.5178
REGION1,PWRHYDB01,2038,81.5178
REGION1,PWRHYDB01,2039,81.5178
REGION1,PWRHYDB01,2040,81.5178
REGION1,PWRHYDB01,2041,81.5178
REGION1,PWRHYDB01,2042,81.5178
REGION1,PWRHYDB01,2043,81.5178
REGION1,PWRHYDB01,2044,81.5178
REGION1,PWRHYDB01,2045,81.5178
REGION1,PWRHYDB01,2046,81.5178
REGION1,PWRHYDB01,2047,81.5178
REGION1,PWRHYDB01,2048,81.5178
REGION1,PWRHYDB01,2049,81.5178
REGION1,PWRHYDB01,2050,81.5178
REGION1,PWRHYDB02,2020,20.6034
REGION1,PWRHYDB02,2021,20.6034
REGION1,PWRHYDB02,2022,20.6034
REGION1,PWRHYDB02,2023,20.6034
REGION1,PWRHYDB02,2024,20.6034
REGION1,PWRHYDB02,2025,20.6034
REGION1,PWRHYDB02,2026,20.6034
REGION1,PWRHYDB02,2027,20.6034
REGION1,PWRHYDB02,2028,20.6034
REGION1,PWRHYDB02,2029,20.6034
REGION1,PWRHYDB02,2030,20.6034
REGION1,PWRHYDB02,2031,20.6034
REGION1,PWRHYDB02,2032,20.6034
REGION1,PWRHYDB02,2033,20.6034
REGION1,PWRHYDB02,2034,20.6034
REGION1,PWRHYDB02,2035,20.6034
REGION1,PWRHYDB02,2036,20.6034
REGION1,PWRHYDB02,2037,20.6034
REGION1,PWRHYDB02,2038,20.6034
REGION1,PWRHYDB02,2039,20.6034
REGION1,PWRHYDB02,2040,20.6034
REGION1,PWRHYDB02,2041,20.6034
REGION1,PWRHYDB02,2042,20.6034
REGION1,PWRHYDB02,2043,20.6034
REGION1,PWRHYDB02,2044,20.6034
REGION1,PWRHYDB02,2045,20.6034
REGION1,PWRHYDB02,2046,20.6034
REGION1,PWRHYDB02,2047,20.6034
REGION1,PWRHYDB02,2048,20.6034
REGION1,PWRHYDB02,2049,20.6034
REGION1,PWRHYDB02,2050,20.6034
REGION1,PWRHYDB03,2020,9.2566
REGION1,PWRHYDB03,2021,9.2566
REGION1,PWRHYDB03,2022,9.2566
REGION1,PWRHYDB03,2023,9.2566
REGION1,PWRHYDB03,2024,9.2566
REGION1,PWRHYDB03,2025,9.2566
REGION1,PWRHYDB03,2026,9.2566
REGION1,PWRHYDB03,2027,9.2566
REGION1,PWRHYDB03,2028,9.2566
REGION1,PWRHYDB03,2029,9.2566
REGION1,PWRHYDB03,2030,9.2566
REGION1,PWRHYDB03,2031,9.2566
REGION1,PWRHYDB03,2032,9.2566
REGION1,PWRHYDB03,2033,9.2566
REGION1,PWRHYDB03,2034,9.2566
REGION1,PWRHYDB03,2035,9.2566
REGION1,PWRHYDB03,2036,9.2566
REGION1,PWRHYDB03,2037,9.2566
REGION1,PWRHYDB03,2038,9.2566
REGION1,PWRHYDB03,2039,9.2566
REGION1,PWRHYDB03,2040,9.2566
REGION1,PWRHYDB03,2041,9.2566
REGION1,PWRHYDB03,2042,9.2566
REGION1,PWRHYDB03,2043,9.2566
REGION1,PWRHYDB03,2044,9.2566
REGION1,PWRHYDB03,2045,9.2566
REGION1,PWRHYDB03,2046,9.2566
REGION1,PWRHYDB03,2047,9.2566
REGION1,PWRHYDB03,2048,9.2566
REGION1,PWRHYDB03,2049,9.2566
REGION1,PWRHYDB03,2050,9.2566
REGION1,PWRHYDB04,2020,28.6656
REGION1,PWRHYDB04,2021,28.6656
REGION1,PWRHYDB04,2022,28.6656
REGION1,PWRHYDB04,2023,28.6656
REGION1,PWRHYDB04,2024,28.6656
REGION1,PWRHYDB04,2025,28.6656
REGION1,PWRHYDB04,2026,28.6656
REGION1,PWRHYDB04,2027,28.6656
REGION1,PWRHYDB04,2028,28.6656
REGION1,PWRHYDB04,2029,28.6656
REGION1,PWRHYDB04,2030,28.6656
REGION1,PWRHYDB04,2031,28.6656
REGION1,PWRHYDB04,2032,28.6656
REGION1,PWRHYDB04,2033,28.6656
REGION1,PWRHYDB04,2034,28.6656
REGION1,PWRHYDB04,2035,28.6656
REGION1,PWRHYDB04,2036,28.6656
REGION1,PWRHYDB04,2037,28.6656
REGION1,PWRHYDB04,2038,28.6656
REGION1,PWRHYDB04,2039,28.6656
REGION1,PWRHYDB04,2040,28.6656
REGION1,PWRHYDB04,2041,28.6656
REGION1,PWRHYDB04,2042,28.6656
REGION1,PWRHYDB04,2043,28.6656
REGION1,PWRHYDB04,2044,28.6656
REGION1,PWRHYDB04,2045,28.6656
REGION1,PWRHYDB04,2046,28.6656
REGION1,PWRHYDB04,2047,28.6656
REGION1,PWRHYDB04,2048,28.6656
REGION1,PWRHYDB04,2049,28.6656
REGION1,PWRHYDB04,2050,28.6656
REGION1,PWRHYDB05,2020,1.7916
REGION1,PWRHYDB05,2021,1.7916
REGION1,PWRHYDB05,2022,1.7916
REGION1,PWRHYDB05,2023,1.7916
REGION1,PWRHYDB05,2024,1.7916
REGION1,PWRHYDB05,2025,1.7916
REGION1,PWRHYDB05,2026,1.7916
REGION1,PWRHYDB05,2027,1.7916
REGION1,PWRHYDB05,2028,1.7916
REGION1,PWRHYDB05,2029,1.7916
REGION1,PWRHYDB05,2030,1.7916
REGION1,PWRHYDB05,2031,1.7916
REGION1,PWRHYDB05,2032,1.7916
REGION1,PWRHYDB05,2033,1.7916
REGION1,PWRHYDB05,2034,1.7916
REGION1,PWRHYDB05,2035,1.7916
REGION1,PWRHYDB05,2036,1.7916
REGION1,PWRHYDB05,2037,1.7916
REGION1,PWRHYDB05,2038,1.7916
REGION1,PWRHYDB05,2039,1.7916
REGION1,PWRHYDB05,2040,1.7916
REGION1,PWRHYDB05,2041,1.7916
REGION1,PWRHYDB05,2042,1.7916
REGION1,PWRHYDB05,2043,1.7916
REGION1,PWRHYDB05,2044,1.7916
REGION1,PWRHYDB05,2045,1.7916
REGION1,PWRHYDB05,2046,1.7916
REGION1,PWRHYDB05,2047,1.7916
REGION1,PWRHYDB05,2048,1.7916
REGION1,PWRHYDB05,2049,1.7916
REGION1,PWRHYDB05,2050,1.7916
REGION1,PWRHYDB06,2020,82.115
REGION1,PWRHYDB06,2021,82.115
REGION1,PWRHYDB06,2022,82.115
REGION1,PWRHYDB06,2023,82.115
REGION1,PWRHYDB06,2024,82.115
REGION1,PWRHYDB06,2025,82.115
REGION1,PWRHYDB06,2026,82.115
REGION1,PWRHYDB06,2027,82.115
REGION1,PWRHYDB06,2028,82.115
REGION1,PWRHYDB06,2029,82.115
REGION1,PWRHYDB06,2030,82.115
REGION1,PWRHYDB06,2031,82.115
REGION1,PWRHYDB06,2032,82.115
REGION1,PWRHYDB06,2033,82.115
REGION1,PWRHYDB06,2034,82.115
REGION1,PWRHYDB06,2035,82.115
REGION1,PWRHYDB06,2036,82.115
REGION1,PWRHYDB06,2037,82.115
REGION1,PWRHYDB06,2038,82.115
REGION1,PWRHYDB06,2039,82.115
REGION1,PWRHYDB06,2040,82.115
REGION1,PWRHYDB06,2041,82.115
REGION1,PWRHYDB06,2042,82.115
REGION1,PWRHYDB06,2043,82.115
REGION1,PWRHYDB06,2044,82.115
REGION1,PWRHYDB06,2045,82.115
REGION1,PWRHYDB06,2046,82.115
REGION1,PWRHYDB06,2047,82.115
REGION1,PWRHYDB06,2048,82.115
REGION1,PWRHYDB06,2049,82.115
REGION1,PWRHYDB06,2050,82.115
REGION1,PWRHYDB07,2020,1.1944
REGION1,PWRHYDB07,2021,1.1944
REGION1,PWRHYDB07,2022,1.1944
REGION1,PWRHYDB07,2023,1.1944
REGION1,PWRHYDB07,2024,1.1944
REGION1,PWRHYDB07,2025,1.1944
REGION1,PWRHYDB07,2026,1.1944
REGION1,PWRHYDB07,2027,1.1944
REGION1,PWRHYDB07,2028,1.1944
REGION1,PWRHYDB07,2029,1.1944
REGION1,PWRHYDB07,2030,1.1944
REGION1,PWRHYDB07,2031,1.1944
REGION1,PWRHYDB07,2032,1.1944
REGION1,PWRHYDB07,2033,1.1944
REGION1,PWRHYDB07,2034,1.1944
REGION1,PWRHYDB07,2035,1.1944
REGION1,PWRHYDB07,2036,1.1944
REGION1,PWRHYDB07,2037,1.1944
REGION1,PWRHYDB07,2038,1.1944
REGION1,PWRHYDB07,2039,1.1944
REGION1,PWRHYDB07,2040,1.1944
REGION1,PWRHYDB07,2041,1.1944
REGION1,PWRHYDB07,2042,1.1944
REGION1,PWRHYDB07,2043,1.1944
REGION1,PWRHYDB07,2044,1.1944
REGION1,PWRHYDB07,2045,1.1944
REGION1,PWRHYDB07,2046,1.1944
REGION1,PWRHYDB07,2047,1.1944
REGION1,PWRHYDB07,2048,1.1944
REGION1,PWRHYDB07,2049,1.1944
REGION1,PWRHYDB07,2050,1.1944
REGION1,PWRHYDB08,2020,17.916
REGION1,PWRHYDB08,2021,17.916
REGION1,PWRHYDB08,2022,17.916
REGION1,PWRHYDB08,2023,17.916
REGION1,PWRHYDB08,2024,17.916
REGION1,PWRHYDB08,2025,17.916
REGION1,PWRHYDB08,2026,17.916
REGION1,PWRHYDB08,2027,17.916
REGION1,PWRHYDB08,2028,17.916
REGION1,PWRHYDB08,2029,17.916
REGION1,PWRHYDB08,2030,17.916
REGION1,PWRHYDB08,2031,17.916
REGION1,PWRHYDB08,2032,17.916
REGION1,PWRHYDB08,2033,17.916
REGION1,PWRHYDB08,2034,17.916
REGION1,PWRHYDB08,2035,17.916
REGION1,PWRHYDB08,2036,17.916
REGION1,PWRHYDB08,2037,17.916
REGION1,PWRHYDB08,2038,17.916
REGION1,PWRHYDB08,2039,17.916
REGION1,PWRHYDB08,2040,17.916
REGION1,PWRHYDB08,2041,17.916
REGION1,PWRHYDB08,2042,17.916
REGION1,PWRHYDB08,2043,17.916
REGION1,PWRHYDB08,2044,17.916
REGION1,PWRHYDB08,2045,17.916
REGION1,PWRHYDB08,2046,17.916
REGION1,PWRHYDB08,2047,17.916
REGION1,PWRHYDB08,2048,17.916
REGION1,PWRHYDB08,2049,17.916
REGION1,PWRHYDB08,2050,17.916
REGION1,PWRHYDB09,2020,70.4696
REGION1,PWRHYDB09,2021,70.4696
REGION1,PWRHYDB09,2022,70.4696
REGION1,PWRHYDB09,2023,70.4696
REGION1,PWRHYDB09,2024,70.4696
REGION1,PWRHYDB09,2025,70.4696
REGION1,PWRHYDB09,2026,70.4696
REGION1,PWRHYDB09,2027,70.4696
REGION1,PWRHYDB09,2028,70.4696
REGION1,PWRHYDB09,2029,70.4696
REGION1,PWRHYDB09,2030,70.4696
REGION1,PWRHYDB09,2031,70.4696
REGION1,PWRHYDB09,2032,70.4696
REGION1,PWRHYDB09,2033,70.4696
REGION1,PWRHYDB09,2034,70.4696
REGION1,PWRHYDB09,2035,70.4696
REGION1,PWRHYDB09,2036,70.4696
REGION1,PWRHYDB09,2037,70.4696
REGION1,PWRHYDB09,2038,70.4696
REGION1,PWRHYDB09,2039,70.4696
REGION1,PWRHYDB09,2040,70.4696
REGION1,PWRHYDB09,2041,70.4696
REGION1,PWRHYDB09,2042,70.4696
REGION1,PWRHYDB09,2043,70.4696
REGION1,PWRHYDB09,2044,70.4696
REGION1,PWRHYDB09,2045,70.4696
REGION1,PWRHYDB09,2046,70.4696
REGION1,PWRHYDB09,2047,70.4696
REGION1,PWRHYDB09,2048,70.4696
REGION1,PWRHYDB09,2049,70.4696
REGION1,PWRHYDB09,2050,70.4696
REGION1,PWRHYDB10,2020,74.0528
REGION1,PWRHYDB10,2021,74.0528
REGION1,PWRHYDB10,2022,74.0528
REGION1,PWRHYDB10,2023,74.0528
REGION1,PWRHYDB10,2024,74.0528
REGION1,PWRHYDB10,2025,74.0528
REGION1,PWRHYDB10,2026,74.0528
REGION1,PWRHYDB10,2027,74.0528
REGION1,PWRHYDB10,2028,74.0528
REGION1,PWRHYDB10,2029,74.0528
REGION1,PWRHYDB10,2030,74.0528
REGION1,PWRHYDB10,2031,74.0528
REGION1,PWRHYDB10,2032,74.0528
REGION1,PWRHYDB10,2033,74.0528
REGION1,PWRHYDB10,2034,74.0528
REGION1,PWRHYDB10,2035,74.0528
REGION1,PWRHYDB10,2036,74.0528
REGION1,PWRHYDB10,2037,74.0528
REGION1,PWRHYDB10,2038,74.0528
REGION1,PWRHYDB10,2039,74.0528
REGION1,PWRHYDB10,2040,74.0528
REGION1,PWRHYDB10,2041,74.0528
REGION1,PWRHYDB10,2042,74.0528
REGION1,PWRHYDB10,2043,74.0528
REGION1,PWRHYDB10,2044,74.0528
REGION1,PWRHYDB10,2045,74.0528
REGION1,PWRHYDB10,2046,74.0528
REGION1,PWRHYDB10,2047,74.0528
REGION1,PWRHYDB10,2048,74.0528
REGION1,PWRHYDB10,2049,74.0528
REGION1,PWRHYDB10,2050,74.0528
REGION1,PWRHYDB11,2020,24.1866
REGION1,PWRHYDB11,2021,24.1866
REGION1,PWRHYDB11,2022,24.1866
REGION1,PWRHYDB11,2023,24.1866
REGION1,PWRHYDB11,2024,24.1866
REGION1,PWRHYDB11,2025,24.1866
REGION1,PWRHYDB11,2026,24.1866
REGION1,PWRHYDB11,2027,24.1866
REGION1,PWRHYDB11,2028,24.1866
REGION1,PWRHYDB11,2029,24.1866
REGION1,PWRHYDB11,2030,24.1866
REGION1,PWRHYDB11,2031,24.1866
REGION1,PWRHYDB11,2032,24.1866
REGION1,PWRHYDB11,2033,24.1866
REGION1,PWRHYDB11,2034,24.1866
REGION1,PWRHYDB11,2035,24.1866
REGION1,PWRHYDB11,2036,24.1866
REGION1,PWRHYDB11,2037,24.1866
REGION1,PWRHYDB11,2038,24.1866
REGION1,PWRHYDB11,2039,24.1866
REGION1,PWRHYDB11,2040,24.1866
REGION1,PWRHYDB11,2041,24.1866
REGION1,PWRHYDB11,2042,24.1866
REGION1,PWRHYDB11,2043,24.1866
REGION1,PWRHYDB11,2044,24.1866
REGION1,PWRHYDB11,2045,24.1866
REGION1,PWRHYDB11,2046,24.1866
REGION1,PWRHYDB11,2047,24.1866
REGION1,PWRHYDB11,2048,24.1866
REGION1,PWRHYDB11,2049,24.1866
REGION1,PWRHYDB11,2050,24.1866
REGION1,PWRHYDB12,2020,40.6096
REGION1,PWRHYDB12,2021,40.6096
REGION1,PWRHYDB12,2022,40.6096
REGION1,PWRHYDB12,2023,40.6096
REGION1,PWRHYDB12,2024,40.6096
REGION1,PWRHYDB12,2025,40.6096
REGION1,PWRHYDB12,2026,40.6096
REGION1,PWRHYDB12,2027,40.6096
REGION1,PWRHYDB12,2028,40.6096
REGION1,PWRHYDB12,2029,40.6096
REGION1,PWRHYDB12,2030,40.6096
REGION1,PWRHYDB12,2031,40.6096
REGION1,PWRHYDB12,2032,40.6096
REGION1,PWRHYDB12,2033,40.6096
REGION1,PWRHYDB12,2034,40.6096
REGION1,PWRHYDB12,2035,40.6096
REGION1,PWRHYDB12,2036,40.6096
REGION1,PWRHYDB12,2037,40.6096
REGION1,PWRHYDB12,2038,40.6096
REGION1,PWRHYDB12,2039,40.6096
REGION1,PWRHYDB12,2040,40.6096
REGION1,PWRHYDB12,2041,40.6096
REGION1,PWRHYDB12,2042,40.6096
REGION1,PWRHYDB12,2043,40.6096
REGION1,PWRHYDB12,2044,40.6096
REGION1,PWRHYDB12,2045,40.6096
REGION1,PWRHYDB12,2046,40.6096
REGION1,PWRHYDB12,2047,40.6096
REGION1,PWRHYDB12,2048,40.6096
REGION1,PWRHYDB12,2049,40.6096
REGION1,PWRHYDB12,2050,40.6096
REGION1,PWRHYDB13,2025,32.846
REGION1,PWRHYDB13,2026,32.846
REGION1,PWRHYDB13,2027,32.846
REGION1,PWRHYDB13,2028,32.846
REGION1,PWRHYDB13,2029,32.846
REGION1,PWRHYDB13,2030,32.846
REGION1,PWRHYDB13,2031,32.846
REGION1,PWRHYDB13,2032,32.846
REGION1,PWRHYDB13,2033,32.846
REGION1,PWRHYDB13,2034,32.846
REGION1,PWRHYDB13,2035,32.846
REGION1,PWRHYDB13,2036,32.846
REGION1,PWRHYDB13,2037,32.846
REGION1,PWRHYDB13,2038,32.846
REGION1,PWRHYDB13,2039,32.846
REGION1,PWRHYDB13,2040,32.846
REGION1,PWRHYDB13,2041,32.846
REGION1,PWRHYDB13,2042,32.846
REGION1,PWRHYDB13,2043,32.846
REGION1,PWRHYDB13,2044,32.846
REGION1,PWRHYDB13,2045,32.846
REGION1,PWRHYDB13,2046,70.844
REGION1,PWRHYDB13,2047,108.8126
REGION1,PWRHYDB13,2048,175.3161
REGION1,PWRHYDB13,2049,241.8369
REGION1,PWRHYDB13,2050,358.32
REGION1,PWRNGSB01,2020,10.53
REGION1,PWRNGSB01,2021,10.53
REGION1,PWRNGSB01,2022,10.53
REGION1,PWRNGSB01,2023,10.53
REGION1,PWRNGSB01,2024,10.53
REGION1,PWRNGSB01,2025,10.53
REGION1,PWRNGSB01,2026,10.53
REGION1,PWRNGSB01,2027,10.53
REGION1,PWRNGSB01,2028,10.53
REGION1,PWRNGSB01,2029,24.6498
REGION1,PWRNGSB01,2030,38.4877
REGION1,PWRNGSB01,2031,53.1659
REGION1,PWRNGSB01,2032,67.8402
REGION1,PWRNGSB01,2033,82.507
REGION1,PWRNGSB01,2034,97.1814
REGION1,PWRNGSB01,2035,111.3935
REGION1,PWRNGSB01,2036,126.0641
REGION1,PWRNGSB01,2037,140.7911
REGION1,PWRNGSB01,2038,155.334
REGION1,PWRNGSB01,2039,170.3094
REGION1,PWRNGSB01,2040,186.0134
REGION1,PWRNGSB01,2041,200.8376
REGION1,PWRNGSB01,2042,216.4992
REGION1,PWRNGSB01,2043,230.4852
REGION1,PWRNGSB01,2044,246.1468
REGION1,PWRNGSB01,2045,261.624
REGION1,PWRNGSB01,2046,261.624
REGION1,PWRNGSB01,2047,261.624
REGION1,PWRNGSB01,2048,261.624
REGION1,PWRNGSB01,2049,261.624
REGION1,PWRNGSB01,2050,261.624
REGION1,PWRSOLB01,2020,0.0152
REGION1,PWRSOLB01,2021,0.0152
REGION1,PWRSOLB01,2022,0.0152
REGION1,PWRSOLB01,2023,0.0152
REGION1,PWRSOLB01,2024,0.0152
